Unit,Treatment,Year,BAperTree_m2ha
40,None,2001,59.89019347827334
40,None,2003,61.3832694074091
40,None,2009,66.01136513600888
40,None,2016,66.7745639813476
40,None,2020,70.22927960158458
60,Burn,2001,43.07928400435079
60,Burn,2003,42.14171991294575
60,Burn,2009,42.50564422778766
60,Burn,2016,46.48631087693693
60,Burn,2020,48.08411996566236
180,Burn+Thin,2001,52.13194110471947
180,Burn+Thin,2003,40.085657063546655
180,Burn+Thin,2009,41.038057874544265
180,Burn+Thin,2016,41.975497139653854
180,Burn+Thin,2020,29.823282097241425
190,Thin,2001,51.24195459384941
190,Thin,2003,43.96858313144294
190,Thin,2009,49.60304213378957
190,Thin,2016,53.10861904250515
190,Thin,2020,49.10239205063366
240,None,2001,50.94858166162768
240,None,2003,53.0085204815329
240,None,2009,59.16034097342193
240,None,2016,63.85961378695372
240,None,2020,64.12843063136206
340,Burn,2001,50.391040707514385
340,Burn,2003,50.326719952236786
340,Burn,2009,48.94763059344491
340,Burn,2016,50.53062429024885
340,Burn,2020,46.94272853049667
350,Thin,2001,52.853744779953495
350,Thin,2003,37.89660151063577
350,Thin,2009,44.070385767112384
350,Thin,2016,50.74388744566573
350,Thin,2020,44.48366330045495
380,Burn+Thin,2001,57.19770654423545
380,Burn+Thin,2003,44.030441075925665
380,Burn+Thin,2009,43.14177529951418
380,Burn+Thin,2016,43.638998884186584
380,Burn+Thin,2020,35.34519018914129
400,Burn,2001,49.297813451601094
400,Burn,2003,49.993294133618896
400,Burn,2009,51.3979300841885
400,Burn,2016,55.097700725841754
400,Burn,2020,55.17881829935891
490,Thin,2001,49.35189269664029
490,Thin,2003,41.10864234379957
490,Thin,2009,48.1071847424756
490,Thin,2016,56.33748091648007
490,Thin,2020,41.84971967565488
570,Burn+Thin,2001,53.76199763189657
570,Burn+Thin,2003,35.25401246245015
570,Burn+Thin,2009,36.083607381971746
570,Burn+Thin,2016,39.72272758991497
570,Burn+Thin,2020,41.93033947468074
590,None,2001,50.09962985027223
590,None,2003,51.68030773239725
590,None,2009,57.643537385595
590,None,2016,68.11433916719551
590,None,2020,67.8974907208835
