Plot,Unit,Treatment,PFT_simple,Mortality_frac_yr,Total_count,SE_plot,Timeframe
0040-00002,40,None,cedar,0.0,3,0.0,2001-2003
0040-00002,40,None,fir,0.0,6,0.0,2001-2003
0040-00002,40,None,psme,0.0,5,0.0,2001-2003
0040-00003,40,None,cedar,0.0,4,0.0,2001-2003
0040-00003,40,None,fir,0.0,4,0.0,2001-2003
0040-00003,40,None,pine,0.0,2,0.0,2001-2003
0040-00003,40,None,psme,0.0,5,0.0,2001-2003
0040-00005,40,None,cedar,0.0,8,0.0,2001-2003
0040-00005,40,None,fir,0.057190958417936644,9,0.07740237772200145,2001-2003
0040-00005,40,None,pine,0.0,1,0.0,2001-2003
0040-00005,40,None,psme,0.0,5,0.0,2001-2003
0040-00007,40,None,cedar,0.0,2,0.0,2001-2003
0040-00007,40,None,fir,0.0,10,0.0,2001-2003
0040-00007,40,None,oak,0.0,4,0.0,2001-2003
0040-00007,40,None,pine,0.0,2,0.0,2001-2003
0040-00007,40,None,psme,0.0,8,0.0,2001-2003
0040-00012,40,None,cedar,0.0,22,0.0,2001-2003
0040-00012,40,None,fir,0.0,1,0.0,2001-2003
0040-00012,40,None,oak,0.0,4,0.0,2001-2003
0040-00012,40,None,psme,0.0,2,0.0,2001-2003
0040-00101,40,None,cedar,0.0,1,0.0,2001-2003
0040-00101,40,None,fir,0.033908216920704115,15,0.0467321800233077,2001-2003
0040-00101,40,None,oak,0.0,7,0.0,2001-2003
0040-00101,40,None,psme,0.0,1,0.0,2001-2003
0040-00103,40,None,cedar,0.0,2,0.0,2001-2003
0040-00103,40,None,fir,0.0,5,0.0,2001-2003
0040-00103,40,None,other_hardwood,0.03923107716947716,13,0.05384593388948459,2001-2003
0040-00103,40,None,pine,0.0,1,0.0,2001-2003
0040-00103,40,None,psme,0.0,1,0.0,2001-2003
0040-00104,40,None,cedar,0.0,6,0.0,2001-2003
0040-00104,40,None,fir,0.0,4,0.0,2001-2003
0040-00104,40,None,other_hardwood,0.0,5,0.0,2001-2003
0040-00104,40,None,pine,0.0,2,0.0,2001-2003
