comp,Treatment,PFT_simple,Timeframe,Mortality_frac_yr,Total_count,SE_unit
40,None,cedar,2001-2003,0.00669872981077807,95,0.008515625482915169
40,None,fir,2001-2003,0.007784241432257771,107,0.006270330546198482
40,None,oak,2001-2003,0.01488606624617349,49,0.013381014500031742
40,None,other_hardwood,2001-2003,0.02094108296082468,78,0.01575465984214638
40,None,pine,2001-2003,0.0,13,0.0
40,None,psme,2001-2003,0.004356453541236155,72,0.005756792938272413
60,Burn,cedar,2001-2003,0.06391994513150442,116,0.020074491346503475
60,Burn,fir,2001-2003,0.04615271014447191,82,0.015365387652956758
60,Burn,oak,2001-2003,0.041841888401921774,10,0.04597101806468447
60,Burn,pine,2001-2003,0.0,27,0.0
60,Burn,psme,2001-2003,0.026679238439313364,32,0.017763974059475787
60,Burn,unknown,2001-2003,0.0,1,0.0
180,Burn+Thin,cedar,2001-2003,0.21175660672271077,96,0.031106515462010483
180,Burn+Thin,fir,2001-2003,0.26007815533068174,115,0.03645604946198867
180,Burn+Thin,oak,2001-2003,0.07939943964762107,10,0.06529775718178317
180,Burn+Thin,pine,2001-2003,0.08610568396785122,49,0.03397931063878846
180,Burn+Thin,psme,2001-2003,0.24004517935705943,42,0.05804856525816153
190,Thin,cedar,2001-2003,0.21803154765209534,86,0.040137351207117894
190,Thin,fir,2001-2003,0.1668983737379306,45,0.04756594645989251
190,Thin,oak,2001-2003,0.013196601125010518,15,0.017178037486125626
190,Thin,other_hardwood,2001-2003,0.047732983133354556,13,0.044300681184859456
190,Thin,pine,2001-2003,0.04587585476806849,14,0.03950605363172462
190,Thin,psme,2001-2003,0.16054072643969236,39,0.048182727894553155
240,None,cedar,2001-2003,0.007097077343922634,237,0.006654129854453724
240,None,fir,2001-2003,0.024082237848880018,108,0.01630022205222384
240,None,oak,2001-2003,0.0,26,0.0
240,None,other_hardwood,2001-2003,0.0,3,0.0
240,None,pine,2001-2003,0.006702236217286392,37,0.008856604520419097
240,None,psme,2001-2003,0.0036375888340568485,44,0.005003761662703868
340,Burn,cedar,2001-2003,0.032810695717326706,102,0.015892741391094197
340,Burn,fir,2001-2003,0.011684148915395282,147,0.007229438519317896
340,Burn,oak,2001-2003,0.03968475191097942,16,0.035122476710922806
340,Burn,other_hardwood,2001-2003,0.08040307716811777,87,0.04113931769805075
340,Burn,pine,2001-2003,0.0,13,0.0
340,Burn,psme,2001-2003,0.0,28,0.0
350,Thin,cedar,2001-2003,0.4991822353149511,199,0.03443407408771446
350,Thin,fir,2001-2003,0.32078691969725776,129,0.04167760044533689
350,Thin,oak,2001-2003,0.12658178158198985,23,0.07285114561619926
350,Thin,pine,2001-2003,0.12318875402964397,22,0.061935508122054166
350,Thin,psme,2001-2003,0.19132793380051835,36,0.05300141652606239
380,Burn+Thin,cedar,2001-2003,0.20667110975118758,122,0.03276087844671325
380,Burn+Thin,fir,2001-2003,0.23310054797526766,79,0.04421948322472849
380,Burn+Thin,oak,2001-2003,0.11715728752538097,17,0.06435942529055826
380,Burn+Thin,other_hardwood,2001-2003,0.0,1,0.0
380,Burn+Thin,pine,2001-2003,0.05014701451428699,36,0.029161570673375665
380,Burn+Thin,psme,2001-2003,0.14535693764545113,66,0.04149759830131017
400,Burn,cedar,2001-2003,0.1342424812703525,177,0.030255123964540696
400,Burn,fir,2001-2003,0.0793355841055917,113,0.025682731435183733
400,Burn,oak,2001-2003,0.0,5,0.0
400,Burn,pine,2001-2003,0.05168703861413866,40,0.0327864101615236
400,Burn,psme,2001-2003,0.050231312407613776,84,0.020309148588100116
400,Burn,unknown,2001-2003,0.0,1,0.0
490,Thin,cedar,2001-2003,0.23705277010114706,100,0.03389685299896231
490,Thin,fir,2001-2003,0.2626264068527469,90,0.046189829502741586
490,Thin,oak,2001-2003,0.08452994616207485,7,0.05703997847782348
490,Thin,other_hardwood,2001-2003,0.04790948104312911,16,0.036545102912996716
490,Thin,pine,2001-2003,0.048557106396708447,31,0.03192003703084187
490,Thin,psme,2001-2003,0.1883616732538767,85,0.03543022054537542
570,Burn+Thin,cedar,2001-2003,0.40157269347848495,145,0.0452060108440144
570,Burn+Thin,fir,2001-2003,0.33435162184706974,64,0.050878390871138705
570,Burn+Thin,oak,2001-2003,0.1904191456347841,60,0.04503125130379277
570,Burn+Thin,pine,2001-2003,0.13153447039713986,54,0.03323947000703801
570,Burn+Thin,psme,2001-2003,0.0732233047033631,15,0.05688623257027841
590,None,cedar,2001-2003,0.008891294868786932,160,0.007449544925895966
590,None,fir,2001-2003,0.0,62,0.0
590,None,oak,2001-2003,0.0,9,0.0
590,None,pine,2001-2003,0.008373412263472588,46,0.01064453185364396
590,None,psme,2001-2003,0.0,50,0.0
40,None,cedar,2003-2009,0.005323917965998515,94,0.006898186084518714
40,None,fir,2003-2009,0.002726764044108221,103,0.00429123625299566
40,None,oak,2003-2009,0.01330860220282197,46,0.015370852334367082
40,None,other_hardwood,2003-2009,0.024683274581493646,72,0.018135418152544294
40,None,pine,2003-2009,0.0,13,0.0
40,None,psme,2003-2009,0.0,71,0.0
60,Burn,cedar,2003-2009,0.02134696726265858,104,0.01511228636211509
60,Burn,fir,2003-2009,0.052882219197669694,71,0.026309084887745436
60,Burn,oak,2003-2009,0.03346336446887914,7,0.043100178391737486
60,Burn,pine,2003-2009,0.03412423767976354,27,0.02906747990740029
60,Burn,psme,2003-2009,0.003601208231004883,24,0.008124766412743031
