Unit,Treatment,Year,Fuel_class,Mg/ha
240,Control,2001,BROWNS_FOREST_FLOOR,69.6
240,Control,2003,BROWNS_FOREST_FLOOR,61.6
590,Control,2001,BROWNS_FOREST_FLOOR,69.7
590,Control,2003,BROWNS_FOREST_FLOOR,54.0
40,Control,2001,BROWNS_FOREST_FLOOR,76.8
40,Control,2003,BROWNS_FOREST_FLOOR,68.5
60,Burn,2001,BROWNS_FOREST_FLOOR,78.6
60,Burn,2003,BROWNS_FOREST_FLOOR,12.7
340,Burn,2001,BROWNS_FOREST_FLOOR,53.6
340,Burn,2003,BROWNS_FOREST_FLOOR,10.8
400,Burn,2001,BROWNS_FOREST_FLOOR,78.0
400,Burn,2003,BROWNS_FOREST_FLOOR,11.5
190,Thin,2001,BROWNS_FOREST_FLOOR,53.2
190,Thin,2003,BROWNS_FOREST_FLOOR,42.2
350,Thin,2001,BROWNS_FOREST_FLOOR,82.2
350,Thin,2003,BROWNS_FOREST_FLOOR,52.6
490,Thin,2001,BROWNS_FOREST_FLOOR,72.0
490,Thin,2003,BROWNS_FOREST_FLOOR,66.4
180,Burn+Thin,2001,BROWNS_FOREST_FLOOR,72.1
180,Burn+Thin,2003,BROWNS_FOREST_FLOOR,13.1
380,Burn+Thin,2001,BROWNS_FOREST_FLOOR,70.8
380,Burn+Thin,2003,BROWNS_FOREST_FLOOR,8.1
570,Burn+Thin,2001,BROWNS_FOREST_FLOOR,105.0
570,Burn+Thin,2003,BROWNS_FOREST_FLOOR,8.4
240,Control,2001,ONE_HOUR_FUELS,1.485
240,Control,2003,ONE_HOUR_FUELS,0.935
590,Control,2001,ONE_HOUR_FUELS,0.84
590,Control,2003,ONE_HOUR_FUELS,0.488
40,Control,2001,ONE_HOUR_FUELS,0.785
40,Control,2003,ONE_HOUR_FUELS,0.803
60,Burn,2001,ONE_HOUR_FUELS,1.25
60,Burn,2003,ONE_HOUR_FUELS,0.483
340,Burn,2001,ONE_HOUR_FUELS,1.095
340,Burn,2003,ONE_HOUR_FUELS,0.355
400,Burn,2001,ONE_HOUR_FUELS,0.9
400,Burn,2003,ONE_HOUR_FUELS,0.453
190,Thin,2001,ONE_HOUR_FUELS,0.745
190,Thin,2003,ONE_HOUR_FUELS,1.154
350,Thin,2001,ONE_HOUR_FUELS,1.34
350,Thin,2003,ONE_HOUR_FUELS,1.51
490,Thin,2001,ONE_HOUR_FUELS,1.078
490,Thin,2003,ONE_HOUR_FUELS,0.983
180,Burn+Thin,2001,ONE_HOUR_FUELS,0.815
180,Burn+Thin,2003,ONE_HOUR_FUELS,0.39
380,Burn+Thin,2001,ONE_HOUR_FUELS,1.258
380,Burn+Thin,2003,ONE_HOUR_FUELS,0.448
570,Burn+Thin,2001,ONE_HOUR_FUELS,1.293
570,Burn+Thin,2003,ONE_HOUR_FUELS,0.41
240,Control,2001,TEN_HOUR_FUELS,5.435
240,Control,2003,TEN_HOUR_FUELS,3.738
590,Control,2001,TEN_HOUR_FUELS,3.19
590,Control,2003,TEN_HOUR_FUELS,3.02
40,Control,2001,TEN_HOUR_FUELS,2.953
40,Control,2003,TEN_HOUR_FUELS,3.533
60,Burn,2001,TEN_HOUR_FUELS,4.53
60,Burn,2003,TEN_HOUR_FUELS,1.725
340,Burn,2001,TEN_HOUR_FUELS,5.357
340,Burn,2003,TEN_HOUR_FUELS,1.045
400,Burn,2001,TEN_HOUR_FUELS,2.9
400,Burn,2003,TEN_HOUR_FUELS,1.13
190,Thin,2001,TEN_HOUR_FUELS,3.113
190,Thin,2003,TEN_HOUR_FUELS,4.254
350,Thin,2001,TEN_HOUR_FUELS,3.82
350,Thin,2003,TEN_HOUR_FUELS,4.898
490,Thin,2001,TEN_HOUR_FUELS,2.943
490,Thin,2003,TEN_HOUR_FUELS,5.655
180,Burn+Thin,2001,TEN_HOUR_FUELS,3.188
180,Burn+Thin,2003,TEN_HOUR_FUELS,1.705
380,Burn+Thin,2001,TEN_HOUR_FUELS,4.438
380,Burn+Thin,2003,TEN_HOUR_FUELS,2.0
570,Burn+Thin,2001,TEN_HOUR_FUELS,4.075
570,Burn+Thin,2003,TEN_HOUR_FUELS,1.538
240,Control,2001,HUNDRED_HOUR_FUELS,7.548
240,Control,2003,HUNDRED_HOUR_FUELS,11.98
590,Control,2001,HUNDRED_HOUR_FUELS,7.508
590,Control,2003,HUNDRED_HOUR_FUELS,10.265
40,Control,2001,HUNDRED_HOUR_FUELS,5.258
40,Control,2003,HUNDRED_HOUR_FUELS,8.063
