,Treatment,Mortality_pct_yr,SE_trt_pct,Timeframe
0,Burn,7.080694111975854,0.7765404382524738,2001-2003
1,Burn+Thin,36.381850423357086,1.5633236214887662,2001-2003
2,None,1.0975244720767918,0.3053044661803785,2001-2003
3,Thin,29.474278082667233,1.4738452788854262,2001-2003
0,Burn,5.406642471402171,0.7790220612624041,2003-2009
1,Burn+Thin,3.636607532627604,0.9480172591270131,2003-2009
2,None,0.8139753823868578,0.2760780283863557,2003-2009
3,Thin,0.48402332372865553,0.3568606044301013,2003-2009
0,Burn,2.982353398980714,0.7691527135748604,2009-2016
1,Burn+Thin,1.7846143704788364,0.7726933436540676,2009-2016
2,None,1.4387067745941218,0.37420845135022357,2009-2016
3,Thin,1.150048831478389,0.6144712624935632,2009-2016
0,Burn,3.0819763265447975,0.8024883436201509,2016-2020
1,Burn+Thin,7.872315518782032,1.6455200776205496,2016-2020
2,None,2.2812787987327954,0.43598371546517084,2016-2020
3,Thin,7.273952319336356,1.2798591022712802,2016-2020
