treatment,comp,plot_id,year,inv_date,timestep,tree_id,Status_raw,Species_raw,dbh_cm,tph,ba_m2ha,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,species,status,Remove flag,PFT,Outlier,DBH_BA,Treatment,PFT_simple
control,240,0240-00106,2003,2003-06-01,post_1,0240-00106-1,Live,ABCO,28.7,24.69136,1.597345,2.0,0.8000000000000007,0.4000000000000003,2001.0,2003,ABCO,Live,0,fir,0,28.7,None,fir
burn,340,0340-00114,2003,2003-06-01,post_1,0340-00114-7,Live,NODE,14.2,24.69135802,0.391031323,2.0,-2.3000000000000007,-1.1500000000000004,2001.0,2003,CADE,Live,0,cedar,0,14.2,Burn,cedar
control,40,0040-00108,2003,2003-06-01,post_1,0040-00108-7,Live,NODE,14.5,24.69135802,0.407728306,2.0,1.0,0.5,2001.0,2003,QUKE,Live,0,deciduous_oak,0,14.5,None,oak
mechburn,570,0570-00101,2003,2003-06-01,post_1,0570-00101-15,Live,QUKE,41.9,24.69135802,3.404574987,2.0,1.0,0.5,2001.0,2003,QUKE,Live,0,deciduous_oak,0,41.9,Burn+Thin,oak
control,240,0240-00022,2003,2003-06-01,post_1,0240-00022-32,Live,QUKE,55.9,24.69135802,6.059802555,2.0,3.1000000000000014,1.5500000000000007,2001.0,2003,QUKE,Live,0,deciduous_oak,0,55.9,None,oak
mechburn,380,0380-00004,2003,2003-06-01,post_1,0380-00004-26,Snag,QUKE,58.2,24.69135802,6.568721173,2.0,0.5,0.25,2001.0,2003,QUKE,Snag,0,deciduous_oak,0,58.2,Burn+Thin,oak
control,240,0240-00005,2003,2003-06-01,post_1,0240-00005-15,Live,QUKE,26.7,24.69135802,1.382475301,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,26.7,None,oak
control,240,0240-00005,2003,2003-06-01,post_1,0240-00005-17,Live,QUKE,38.9,24.69135802,2.934499642,2.0,0.7999999999999972,0.3999999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,38.9,None,oak
control,240,0240-00109,2003,2003-06-01,post_1,0240-00109-5,Live,QUKE,35.8,24.69135802,2.485426425,2.0,0.1999999999999957,0.0999999999999978,2001.0,2003,QUKE,Live,0,deciduous_oak,0,35.8,None,oak
control,240,0240-00005,2003,2003-06-01,post_1,0240-00005-18,Live,QUKE,52.1,24.69135802,5.263932417,2.0,1.3000000000000045,0.6500000000000021,2001.0,2003,QUKE,Live,0,deciduous_oak,0,52.1,None,oak
control,240,0240-00005,2003,2003-06-01,post_1,0240-00005-19,Live,QUKE,52.8,24.69135802,5.406331891,2.0,0.1999999999999957,0.0999999999999978,2001.0,2003,QUKE,Live,0,deciduous_oak,0,52.8,None,oak
mech,190,0190-00104,2003,2003-06-01,post_1,0190-00104-10,Live,QUKE,58.7,24.69135802,6.682070611,2.0,0.8000000000000043,0.4000000000000021,2001.0,2003,QUKE,Live,0,deciduous_oak,0,58.7,Thin,oak
control,40,0040-00116,2003,2003-06-01,post_1,0040-00116-27,Live,QUKE,32.3,24.69135802,2.023205061,2.0,0.4999999999999964,0.2499999999999982,2001.0,2003,QUKE,Live,0,deciduous_oak,0,32.3,None,oak
burn,340,0340-00103,2003,2003-06-01,post_1,0340-00103-12,Live,QUKE,85.3,24.69135802,14.11019191,2.0,2.0,1.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,85.3,Burn,oak
burn,60,0060-00108,2003,2003-06-01,post_1,0060-00108-13,Live,QUKE,65.0,24.69135802,8.193351211,2.0,0.2000000000000028,0.1000000000000014,2001.0,2003,QUKE,Live,0,deciduous_oak,0,65.0,Burn,oak
mechburn,380,0380-00120,2003,2003-06-01,post_1,0380-00120-17,Live,QUKE,43.7,24.69135802,3.703375355,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,43.7,Burn+Thin,oak
mechburn,380,0380-00112,2003,2003-06-01,post_1,0380-00112-20,Live,QUKE,101.6,24.69135802,20.01807325,2.0,-1.5,-0.75,2001.0,2003,QUKE,Live,0,deciduous_oak,0,101.6,Burn+Thin,oak
burn,340,0340-00103,2003,2003-06-01,post_1,0340-00103-22,Live,QUKE,71.4,24.69135802,9.886243015,2.0,0.3000000000000113,0.1500000000000056,2001.0,2003,QUKE,Live,0,deciduous_oak,0,71.4,Burn,oak
mech,490,0490-00103,2003,2003-06-01,post_1,0490-00103-16,Live,QUKE,41.9,24.69135802,3.404574987,2.0,1.5,0.75,2001.0,2003,QUKE,Live,0,deciduous_oak,0,41.9,Thin,oak
control,40,0040-00108,2003,2003-06-01,post_1,0040-00108-5,Live,QUKE,12.4,24.69135802,0.298179806,2.0,-0.7999999999999989,-0.3999999999999994,2001.0,2003,QUKE,Live,0,deciduous_oak,0,12.4,None,oak
control,40,0040-00107,2003,2003-06-01,post_1,0040-00107-20,Live,QUKE,14.5,24.69135802,0.407728306,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,14.5,None,oak
mechburn,380,0380-00107,2003,2003-06-01,post_1,0380-00107-13,Live,QUKE,57.7,24.69135802,6.456341362,2.0,1.1000000000000014,0.5500000000000007,2001.0,2003,QUKE,Live,0,deciduous_oak,0,57.7,Burn+Thin,oak
control,240,0240-00109,2003,2003-06-01,post_1,0240-00109-7,Live,QUKE,33.0,24.69135802,2.111848395,2.0,0.2000000000000028,0.1000000000000014,2001.0,2003,QUKE,Live,0,deciduous_oak,0,33.0,None,oak
control,40,0040-00116,2003,2003-06-01,post_1,0040-00116-19,Live,QUKE,50.0,24.69135802,4.848136811,,,,,2003,QUKE,Live,0,deciduous_oak,0,50.0,None,oak
mechburn,570,0570-00017,2003,2003-06-01,post_1,0570-00017-23,Live,QUKE,94.5,24.69135802,17.3180295,2.0,1.0,0.5,2001.0,2003,QUKE,Live,0,deciduous_oak,0,94.5,Burn+Thin,oak
mech,350,0350-00103,2003,2003-06-01,post_1,0350-00103-24,Live,QUKE,61.2,24.69135802,7.263362215,2.0,1.5,0.75,2001.0,2003,QUKE,Live,0,deciduous_oak,0,61.2,Thin,oak
burn,60,0060-00112,2003,2003-06-01,post_1,0060-00112-10,Snag,QUKE,51.1,24.69135802,5.063801329,2.0,0.8000000000000043,0.4000000000000021,2001.0,2003,QUKE,Snag,0,deciduous_oak,0,51.1,Burn,oak
control,40,0040-00007,2003,2003-06-01,post_1,0040-00007-40,Live,QUKE,15.5,24.69135802,0.465905948,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,15.5,None,oak
control,40,0040-00116,2003,2003-06-01,post_1,0040-00116-24,Live,QUKE,39.1,24.69135802,2.964752015,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,39.1,None,oak
control,40,0040-00116,2003,2003-06-01,post_1,0040-00116-23,Live,QUKE,37.6,24.69135802,2.741640759,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,37.6,None,oak
control,40,0040-00107,2003,2003-06-01,post_1,0040-00107-15,Live,QUKE,19.1,24.69135802,0.707459516,2.0,0.8000000000000007,0.4000000000000003,2001.0,2003,QUKE,Live,0,deciduous_oak,0,19.1,None,oak
control,240,0240-00109,2003,2003-06-01,post_1,0240-00109-6,Live,QUKE,45.2,24.69135802,3.961974972,2.0,0.2000000000000028,0.1000000000000014,2001.0,2003,QUKE,Live,0,deciduous_oak,0,45.2,None,oak
control,40,0040-00107,2003,2003-06-01,post_1,0040-00107-13,Live,QUKE,11.9,24.69135802,0.274617862,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,11.9,None,oak
burn,340,0340-00024,2003,2003-06-01,post_1,0340-00024-6,Live,QUKE,74.9,24.69135802,10.8792384,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,74.9,Burn,oak
burn,340,0340-00024,2003,2003-06-01,post_1,0340-00024-21,Live,QUKE,41.1,24.69135802,3.275808473,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,41.1,Burn,oak
control,40,0040-00115,2003,2003-06-01,post_1,0040-00115-20,Live,QUKE,63.5,24.69135802,7.819559863,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,63.5,None,oak
burn,340,0340-00024,2003,2003-06-01,post_1,0340-00024-28,Live,QUKE,48.3,24.69135802,4.524067954,2.0,1.5999999999999943,0.7999999999999972,2001.0,2003,QUKE,Live,0,deciduous_oak,0,48.3,Burn,oak
mech,350,0350-00101,2003,2003-06-01,post_1,0350-00101-5,Live,QUKE,44.2,24.69135802,3.7886056,2.0,2.0,1.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,44.2,Thin,oak
mech,190,0190-00104,2003,2003-06-01,post_1,0190-00104-4,Live,QUKE,46.0,24.69135802,4.103462997,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,46.0,Thin,oak
mechburn,180,0180-00004,2003,2003-06-01,post_1,0180-00004-25,Live,QUKE,95.3,24.69135802,17.61248594,2.0,0.5999999999999943,0.2999999999999971,2001.0,2003,QUKE,Live,0,deciduous_oak,0,95.3,Burn+Thin,oak
mechburn,570,0570-00011,2003,2003-06-01,post_1,0570-00011-24,Live,QUKE,51.3,24.69135802,5.103517266,,,,,2003,QUKE,Live,0,deciduous_oak,0,51.3,Burn+Thin,oak
control,40,0040-00116,2003,2003-06-01,post_1,0040-00116-5,Live,QUKE,35.8,24.69135802,2.485426425,2.0,0.1999999999999957,0.0999999999999978,2001.0,2003,QUKE,Live,0,deciduous_oak,0,35.8,None,oak
mech,350,0350-00110,2003,2003-06-01,post_1,0350-00110-6,Live,QUKE,69.6,24.69135802,9.394060166,2.0,1.0,0.5,2001.0,2003,QUKE,Live,0,deciduous_oak,0,69.6,Thin,oak
control,240,0240-00112,2003,2003-06-01,post_1,0240-00112-1,Live,QUKE,64.8,24.69135802,8.143008158,2.0,1.7999999999999972,0.8999999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,64.8,None,oak
