treatment,comp,plot_id,year,timestep,tree_id,Status_raw,Species_raw,dbh_cm,tph,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,species,status,Remove flag,Outlier,DBH_BA,Treatment,PFT_simple
mech,490,0490-00124,2009,post_7,0490-00124-8,Live,NODE,33.5,24.69135802,6.0,10.6,1.7666666666666668,2003.0,2009,CHCH,Live,0,0,33.5,Thin,other_hardwood
mech,490,0490-00122,2009,post_7,0490-00122-25,Live,NODE,25.0,24.69135802,6.0,1.6000000000000014,0.2666666666666669,2003.0,2009,CHCH,Live,0,0,25.0,Thin,other_hardwood
mech,490,0490-00122,2009,post_7,0490-00122-22,Live,NODE,40.0,24.69135802,6.0,1.6000000000000014,0.2666666666666669,2003.0,2009,CHCH,Live,0,0,40.0,Thin,other_hardwood
mech,490,0490-00124,2009,post_7,0490-00124-16,Live,NODE,42.9,24.69135802,6.0,3.299999999999997,0.5499999999999995,2003.0,2009,CHCH,Live,0,0,42.9,Thin,other_hardwood
mech,490,0490-00122,2009,post_7,0490-00122-19,Live,NODE,19.2,24.69135802,6.0,0.3999999999999986,0.0666666666666664,2003.0,2009,NODE,Live,0,0,19.2,Thin,other_hardwood
mech,190,0190-00113,2009,post_7,0190-00113-12,Live,NODE,16.6,24.69135802,6.0,1.1000000000000014,0.1833333333333335,2003.0,2009,NODE,Live,0,0,16.6,Thin,other_hardwood
mech,490,0490-00122,2009,post_7,0490-00122-26,Live,NODE,39.1,24.69135802,6.0,1.3000000000000045,0.2166666666666673,2003.0,2009,CHCH,Live,0,0,39.1,Thin,other_hardwood
mech,490,0490-00124,2009,post_7,0490-00124-17,Live,NODE,41.0,24.69135802,6.0,3.3999999999999986,0.5666666666666664,2003.0,2009,CHCH,Live,0,0,41.0,Thin,other_hardwood
mech,490,0490-00122,2009,post_7,0490-00122-20,Live,NODE,18.0,24.69135802,6.0,0.5,0.0833333333333333,2003.0,2009,CHCH,Live,0,0,18.0,Thin,other_hardwood
mech,490,0490-00122,2009,post_7,0490-00122-21,Live,NODE,25.1,24.69135802,6.0,1.0,0.1666666666666666,2003.0,2009,CHCH,Live,0,0,25.1,Thin,other_hardwood
mech,190,0190-00113,2009,post_7,0190-00113-14,Live,NODE,17.7,24.69135802,6.0,1.6999999999999993,0.2833333333333332,2003.0,2009,NODE,Live,0,0,17.7,Thin,other_hardwood
mech,190,0190-00113,2009,post_7,0190-00113-11,Live,NODE,30.3,24.69135802,6.0,3.1000000000000014,0.5166666666666669,2003.0,2009,NODE,Live,0,0,30.3,Thin,other_hardwood
mech,190,0190-00113,2009,post_7,0190-00113-13,Live,NODE,26.7,24.69135802,6.0,1.8000000000000007,0.3000000000000001,2003.0,2009,NODE,Live,0,0,26.7,Thin,other_hardwood
mech,490,0490-00124,2009,post_7,0490-00124-7,Live,NODE,29.2,24.69135802,8.0,3.8000000000000007,0.4750000000000001,2001.0,2009,CHCH,Live,0,0,29.2,Thin,other_hardwood
control,40,0040-00109,2009,post_7,0040-00109-13,Live,NODE,26.6,24.69135802,6.0,0.4000000000000021,0.066666666666667,2003.0,2009,NODE,Live,0,0,26.6,None,other_hardwood
control,40,0040-00115,2009,post_7,0040-00115-3,Live,NODE,30.4,24.69135802,6.0,0.8999999999999986,0.1499999999999997,2003.0,2009,NODE,Live,0,0,30.4,None,other_hardwood
control,40,0040-00115,2009,post_7,0040-00115-4,Live,NODE,16.2,24.69135802,6.0,0.6999999999999993,0.1166666666666665,2003.0,2009,NODE,Live,0,0,16.2,None,other_hardwood
control,40,0040-00115,2009,post_7,0040-00115-19,Live,NODE,29.9,24.69135802,6.0,1.1999999999999993,0.1999999999999998,2003.0,2009,NODE,Live,0,0,29.9,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-20,Live,NODE,22.6,24.69135802,6.0,-0.2999999999999971,-0.0499999999999995,2003.0,2009,NODE,Live,0,0,22.6,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-30,Live,NODE,19.5,24.69135802,6.0,-0.3000000000000007,-0.0500000000000001,2003.0,2009,NODE,Live,0,0,19.5,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-5,Live,NODE,32.1,24.69135802,6.0,0.9000000000000021,0.1500000000000003,2003.0,2009,NODE,Live,0,0,32.1,None,other_hardwood
control,40,0040-00111,2009,post_7,0040-00111-12,Live,NODE,16.1,24.69135802,6.0,-0.1999999999999993,-0.0333333333333332,2003.0,2009,NODE,Live,0,0,16.1,None,other_hardwood
control,40,0040-00103,2009,post_7,0040-00103-11,Live,NODE,16.1,24.69135802,6.0,1.1000000000000014,0.1833333333333335,2003.0,2009,NODE,Live,0,0,16.1,None,other_hardwood
control,40,0040-00111,2009,post_7,0040-00111-21,Live,NODE,20.0,24.69135802,6.0,-0.1000000000000014,-0.0166666666666669,2003.0,2009,NODE,Live,0,0,20.0,None,other_hardwood
control,40,0040-00109,2009,post_7,0040-00109-17,Live,NODE,29.5,24.69135802,6.0,1.1000000000000014,0.1833333333333335,2003.0,2009,NODE,Live,0,0,29.5,None,other_hardwood
control,40,0040-00111,2009,post_7,0040-00111-11,Live,NODE,20.4,24.69135802,6.0,1.099999999999998,0.183333333333333,2003.0,2009,NODE,Live,0,0,20.4,None,other_hardwood
control,40,0040-00104,2009,post_7,0040-00104-2,Live,NODE,21.6,24.69135802,6.0,0.7000000000000028,0.1166666666666671,2003.0,2009,NODE,Live,0,0,21.6,None,other_hardwood
control,40,0040-00109,2009,post_7,0040-00109-12,Live,NODE,32.9,24.69135802,6.0,0.8999999999999986,0.1499999999999997,2003.0,2009,NODE,Live,0,0,32.9,None,other_hardwood
control,40,0040-00115,2009,post_7,0040-00115-2,Live,NODE,31.1,24.69135802,6.0,0.9000000000000021,0.1500000000000003,2003.0,2009,NODE,Live,0,0,31.1,None,other_hardwood
control,40,0040-00115,2009,post_7,0040-00115-15,Live,NODE,33.0,24.69135802,6.0,3.0,0.5,2003.0,2009,NODE,Live,0,0,33.0,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-13,Live,NODE,16.2,24.69135802,6.0,-0.3000000000000007,-0.0500000000000001,2003.0,2009,NODE,Live,0,0,16.2,None,other_hardwood
control,40,0040-00103,2009,post_7,0040-00103-9,Live,NODE,20.9,24.69135802,6.0,2.099999999999998,0.3499999999999996,2003.0,2009,NODE,Live,0,0,20.9,None,other_hardwood
control,40,0040-00115,2009,post_7,0040-00115-16,Live,NODE,24.3,24.69135802,6.0,0.1999999999999993,0.0333333333333332,2003.0,2009,NODE,Live,0,0,24.3,None,other_hardwood
control,40,0040-00115,2009,post_7,0040-00115-18,Live,NODE,32.8,24.69135802,6.0,0.9999999999999964,0.166666666666666,2003.0,2009,NODE,Live,0,0,32.8,None,other_hardwood
control,40,0040-00111,2009,post_7,0040-00111-14,Live,NODE,18.0,24.69135802,6.0,0.1999999999999993,0.0333333333333332,2003.0,2009,NODE,Live,0,0,18.0,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-15,Live,NODE,16.5,24.69135802,6.0,-1.0,-0.1666666666666666,2003.0,2009,NODE,Live,0,0,16.5,None,other_hardwood
control,240,0240-00101,2009,post_7,0240-00101-11,Live,NODE,17.2,24.69135802,6.0,0.1999999999999993,0.0333333333333332,2003.0,2009,NODE,Live,0,0,17.2,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-12,Snag,NODE,27.0,24.69135802,6.0,-0.3999999999999986,-0.0666666666666664,2003.0,2009,NODE,Snag,0,0,27.0,None,other_hardwood
control,40,0040-00115,2009,post_7,0040-00115-17,Live,NODE,26.9,24.69135802,6.0,2.5,0.4166666666666667,2003.0,2009,NODE,Live,0,0,26.9,None,other_hardwood
control,240,0240-00101,2009,post_7,0240-00101-13,Live,NODE,33.1,24.69135802,6.0,2.6000000000000014,0.4333333333333335,2003.0,2009,NODE,Live,0,0,33.1,None,other_hardwood
control,40,0040-00103,2009,post_7,0040-00103-18,Live,NODE,22.8,24.69135802,6.0,1.6999999999999993,0.2833333333333332,2003.0,2009,NODE,Live,0,0,22.8,None,other_hardwood
control,40,0040-00104,2009,post_7,0040-00104-1,Live,NODE,20.8,24.69135802,6.0,0.0,0.0,2003.0,2009,NODE,Live,0,0,20.8,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-6,Live,NODE,26.1,24.69135802,6.0,0.4000000000000021,0.066666666666667,2003.0,2009,NODE,Live,0,0,26.1,None,other_hardwood
control,40,0040-00103,2009,post_7,0040-00103-13,Live,NODE,36.1,24.69135802,6.0,2.6000000000000014,0.4333333333333335,2003.0,2009,NODE,Live,0,0,36.1,None,other_hardwood
control,240,0240-00101,2009,post_7,0240-00101-12,Live,NODE,28.1,24.69135802,6.0,0.7000000000000028,0.1166666666666671,2003.0,2009,NODE,Live,0,0,28.1,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-34,Live,NODE,18.1,24.69135802,6.0,1.3000000000000007,0.2166666666666667,2003.0,2009,NODE,Live,0,0,18.1,None,other_hardwood
control,40,0040-00103,2009,post_7,0040-00103-12,Live,NODE,19.2,24.69135802,6.0,0.6999999999999993,0.1166666666666665,2003.0,2009,NODE,Live,0,0,19.2,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-43,Live,NODE,17.4,24.69135802,6.0,0.8999999999999986,0.1499999999999997,2003.0,2009,NODE,Live,0,0,17.4,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-14,Live,NODE,15.8,24.69135802,6.0,-0.6999999999999993,-0.1166666666666665,2003.0,2009,NODE,Live,0,0,15.8,None,other_hardwood
control,40,0040-00103,2009,post_7,0040-00103-14,Live,NODE,25.6603076923077,24.69135802,6.0,3.260307692307702,0.543384615384617,2003.0,2009,NODE,Live,0,0,25.6603076923077,None,other_hardwood
control,40,0040-00111,2009,post_7,0040-00111-17,Live,NODE,17.3,24.69135802,6.0,-0.1999999999999993,-0.0333333333333332,2003.0,2009,NODE,Live,0,0,17.3,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-9,Live,NODE,19.9,24.69135802,6.0,-0.2000000000000028,-0.0333333333333338,2003.0,2009,NODE,Live,0,0,19.9,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-24,Live,NODE,17.6,24.69135802,6.0,0.6000000000000014,0.1000000000000002,2003.0,2009,NODE,Live,0,0,17.6,None,other_hardwood
control,40,0040-00115,2009,post_7,0040-00115-5,Live,NODE,16.3,24.69135802,6.0,0.6000000000000014,0.1000000000000002,2003.0,2009,NODE,Live,0,0,16.3,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-21,Live,NODE,29.6,24.69135802,6.0,0.4000000000000021,0.066666666666667,2003.0,2009,NODE,Live,0,0,29.6,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-29,Live,NODE,18.7,24.69135802,6.0,-1.1000000000000014,-0.1833333333333335,2003.0,2009,NODE,Live,0,0,18.7,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-32,Live,NODE,23.1,24.69135802,6.0,1.0,0.1666666666666666,2003.0,2009,NODE,Live,0,0,23.1,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-36,Live,NODE,18.1,24.69135802,6.0,0.6000000000000014,0.1000000000000002,2003.0,2009,NODE,Live,0,0,18.1,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-31,Live,NODE,22.5,24.69135802,6.0,0.1000000000000014,0.0166666666666669,2003.0,2009,NODE,Live,0,0,22.5,None,other_hardwood
control,40,0040-00110,2009,post_7,0040-00110-22,Live,NODE,16.3,24.69135802,6.0,0.6000000000000014,0.1000000000000002,2003.0,2009,NODE,Live,0,0,16.3,None,other_hardwood
control,40,0040-00109,2009,post_7,0040-00109-1,Live,NODE,16.5,24.69135802,6.0,0.1999999999999993,0.0333333333333332,2003.0,2009,NODE,Live,0,0,16.5,None,other_hardwood
control,40,0040-00109,2009,post_7,0040-00109-11,Live,NODE,34.6947692307692,24.69135802,6.0,1.3947692307691997,0.2324615384615332,2003.0,2009,NODE,Live,0,0,34.6947692307692,None,other_hardwood
control,40,0040-00109,2009,post_7,0040-00109-2,Live,NODE,15.4,24.69135802,6.0,-0.0999999999999996,-0.0166666666666666,2003.0,2009,NODE,Live,0,0,15.4,None,other_hardwood
burn,340,0340-00114,2009,post_7,0340-00114-5,Live,NODE,36.9,24.69135802,6.0,1.7999999999999972,0.2999999999999995,2003.0,2009,NODE,Live,0,0,36.9,Burn,other_hardwood
burn,340,0340-00113,2009,post_7,0340-00113-22,Live,NODE,39.7,24.69135802,6.0,0.8000000000000043,0.133333333333334,2003.0,2009,NODE,Live,0,0,39.7,Burn,other_hardwood
burn,340,0340-00113,2009,post_7,0340-00113-9,Snag,NODE,22.9,24.69135802,6.0,-8.900000000000002,-1.4833333333333336,2003.0,2009,NODE,Snag,0,1,28.80000000000001,Burn,other_hardwood
burn,340,0340-00113,2009,post_7,0340-00113-32,Live,NODE,47.6,24.69135802,6.0,2.1000000000000014,0.3500000000000002,2003.0,2009,NODE,Live,0,0,47.6,Burn,other_hardwood
