Unit,Treatment,Year,PFT,BAperTree_m2ha
40,None,2001,cedar,13.267860659630529
40,None,2001,fir,16.618912236504016
40,None,2001,oak,7.390214817713035
40,None,2001,other_hardwood,2.6040850492038863
40,None,2001,pine,7.062695929594666
40,None,2001,psme,12.946424785627197
40,None,2001,unknown,0.0
40,None,2003,cedar,13.473617027688789
40,None,2003,fir,17.163305942005973
40,None,2003,oak,7.628070688002545
40,None,2003,other_hardwood,2.6058963737182217
40,None,2003,pine,7.196664239568482
40,None,2003,psme,13.315715136425093
40,None,2003,unknown,0.0
40,None,2009,cedar,14.043912977046764
40,None,2009,fir,18.30070460066935
40,None,2009,oak,8.075337871033287
40,None,2009,other_hardwood,2.407592909500482
40,None,2009,pine,8.010402513944424
40,None,2009,psme,15.173414263814564
40,None,2009,unknown,0.0
40,None,2016,cedar,14.220903746958493
40,None,2016,fir,17.0121905693759
40,None,2016,oak,8.152980343270137
40,None,2016,other_hardwood,2.467342397186889
40,None,2016,pine,8.286611773195125
40,None,2016,psme,16.634535151361046
40,None,2016,unknown,0.0
40,None,2020,cedar,15.09594322645545
40,None,2020,fir,17.97690460498614
40,None,2020,oak,7.764031682314898
40,None,2020,other_hardwood,2.7082911666219545
40,None,2020,pine,9.294300936876317
40,None,2020,psme,17.389807984329824
40,None,2020,unknown,0.0
60,Burn,2001,cedar,13.482793859784037
60,Burn,2001,fir,10.529956612784451
60,Burn,2001,oak,4.490440626501751
60,Burn,2001,other_hardwood,0.0
60,Burn,2001,pine,8.98032734061458
60,Burn,2001,psme,5.526442809141148
60,Burn,2001,unknown,0.06932275552482137
60,Burn,2003,cedar,13.1954293311752
60,Burn,2003,fir,11.11201163212522
60,Burn,2003,oak,2.967067880915156
60,Burn,2003,other_hardwood,0.0
60,Burn,2003,pine,9.105466070091058
60,Burn,2003,psme,5.761744998639116
60,Burn,2003,unknown,0.0
60,Burn,2009,cedar,14.293318563898385
60,Burn,2009,fir,10.721447593328573
60,Burn,2009,oak,1.5576047379057276
60,Burn,2009,other_hardwood,0.0
60,Burn,2009,pine,9.302076032436705
60,Burn,2009,psme,6.631197300218268
60,Burn,2009,unknown,0.0
60,Burn,2016,cedar,15.366837712145747
60,Burn,2016,fir,11.4980661044033
60,Burn,2016,oak,1.150065964663184
60,Burn,2016,other_hardwood,0.0
60,Burn,2016,pine,10.802430074842832
60,Burn,2016,psme,7.668911020881871
60,Burn,2016,unknown,0.0
60,Burn,2020,cedar,16.208979269444995
60,Burn,2020,fir,11.321225194198272
60,Burn,2020,oak,1.1841887130581965
60,Burn,2020,other_hardwood,0.0
60,Burn,2020,pine,11.353574466416445
