Treatment,Unit,Year,TPH,Size Class
Burn,60,2001,148.68421052631578,11.4-25
Burn,60,2003,105.26315789473684,11.4-25
Burn,60,2009,63.1578947368421,11.4-25
Burn,60,2016,48.68421052631579,11.4-25
Burn,60,2020,44.73684210526316,11.4-25
Burn,340,2001,253.75,11.4-25
Burn,340,2003,202.5,11.4-25
Burn,340,2009,91.25,11.4-25
Burn,340,2016,68.75,11.4-25
Burn,340,2020,56.25,11.4-25
Burn,400,2001,310.0,11.4-25
Burn,400,2003,217.5,11.4-25
Burn,400,2009,92.5,11.4-25
Burn,400,2016,46.25,11.4-25
Burn,400,2020,31.25,11.4-25
Burn+Thin,180,2001,303.125,11.4-25
Burn+Thin,180,2003,43.75,11.4-25
Burn+Thin,180,2009,9.375,11.4-25
Burn+Thin,180,2016,7.8125,11.4-25
Burn+Thin,180,2020,0.0,11.4-25
Burn+Thin,380,2001,205.0,11.4-25
Burn+Thin,380,2003,56.25,11.4-25
Burn+Thin,380,2009,25.0,11.4-25
Burn+Thin,380,2016,20.0,11.4-25
Burn+Thin,380,2020,4.166666666666667,11.4-25
Burn+Thin,570,2001,166.66666666666666,11.4-25
Burn+Thin,570,2003,36.111111111111114,11.4-25
Burn+Thin,570,2009,22.22222222222222,11.4-25
Burn+Thin,570,2016,12.5,11.4-25
Burn+Thin,570,2020,11.11111111111111,11.4-25
None,40,2001,247.5,11.4-25
None,40,2003,228.75,11.4-25
None,40,2009,203.75,11.4-25
None,40,2016,177.5,11.4-25
None,40,2020,171.25,11.4-25
None,240,2001,361.1111111111111,11.4-25
None,240,2003,336.1111111111111,11.4-25
None,240,2009,265.27777777777777,11.4-25
None,240,2016,236.11111111111111,11.4-25
None,240,2020,230.55555555555554,11.4-25
None,590,2001,252.94117647058823,11.4-25
None,590,2003,247.05882352941177,11.4-25
None,590,2009,210.2941176470588,11.4-25
None,590,2016,198.52941176470588,11.4-25
None,590,2020,213.23529411764707,11.4-25
Thin,190,2001,158.92857142857142,11.4-25
Thin,190,2003,71.42857142857143,11.4-25
Thin,190,2009,60.714285714285715,11.4-25
Thin,190,2016,60.714285714285715,11.4-25
Thin,190,2020,51.785714285714285,11.4-25
Thin,350,2001,357.3529411764706,11.4-25
Thin,350,2003,88.23529411764706,11.4-25
Thin,350,2009,57.35294117647059,11.4-25
Thin,350,2016,52.94117647058823,11.4-25
Thin,350,2020,50.0,11.4-25
Thin,490,2001,207.5,11.4-25
Thin,490,2003,76.25,11.4-25
Thin,490,2009,48.75,11.4-25
Thin,490,2016,53.75,11.4-25
Thin,490,2020,21.25,11.4-25
Burn,60,2001,131.57894736842104,25-50
Burn,60,2003,123.6842105263158,25-50
Burn,60,2009,100.0,25-50
Burn,60,2016,88.15789473684211,25-50
Burn,60,2020,77.63157894736842,25-50
Burn,340,2001,161.25,25-50
Burn,340,2003,161.25,25-50
Burn,340,2009,128.75,25-50
Burn,340,2016,98.75,25-50
Burn,340,2020,78.75,25-50
Burn,400,2001,132.5,25-50
Burn,400,2003,125.0,25-50
Burn,400,2009,115.0,25-50
Burn,400,2016,83.75,25-50
Burn,400,2020,86.25,25-50
Burn+Thin,180,2001,104.6875,25-50
Burn+Thin,180,2003,51.5625,25-50
Burn+Thin,180,2009,35.9375,25-50
Burn+Thin,180,2016,21.875,25-50
Burn+Thin,180,2020,8.333333333333334,25-50
Burn+Thin,380,2001,92.5,25-50
Burn+Thin,380,2003,43.75,25-50
Burn+Thin,380,2009,38.75,25-50
Burn+Thin,380,2016,36.25,25-50
Burn+Thin,380,2020,13.88888888888889,25-50
Burn+Thin,570,2001,233.33333333333334,25-50
Burn+Thin,570,2003,87.5,25-50
Burn+Thin,570,2009,69.44444444444444,25-50
Burn+Thin,570,2016,54.166666666666664,25-50
Burn+Thin,570,2020,43.05555555555556,25-50
None,40,2001,168.75,25-50
None,40,2003,167.5,25-50
None,40,2009,150.0,25-50
None,40,2016,130.0,25-50
None,40,2020,133.75,25-50
None,240,2001,198.61111111111111,25-50
None,240,2003,208.33333333333334,25-50
None,240,2009,219.44444444444446,25-50
None,240,2016,218.05555555555554,25-50
None,240,2020,193.05555555555554,25-50
None,590,2001,144.11764705882354,25-50
None,590,2003,144.11764705882354,25-50
None,590,2009,161.76470588235293,25-50
None,590,2016,172.05882352941177,25-50
None,590,2020,160.2941176470588,25-50
Thin,190,2001,123.21428571428571,25-50
Thin,190,2003,80.35714285714286,25-50
Thin,190,2009,66.07142857142857,25-50
Thin,190,2016,64.28571428571429,25-50
Thin,190,2020,50.0,25-50
Thin,350,2001,154.41176470588235,25-50
Thin,350,2003,45.588235294117645,25-50
Thin,350,2009,54.411764705882355,25-50
Thin,350,2016,60.294117647058826,25-50
Thin,350,2020,42.64705882352941,25-50
Thin,490,2001,120.0,25-50
Thin,490,2003,62.5,25-50
Thin,490,2009,76.25,25-50
Thin,490,2016,83.75,25-50
Thin,490,2020,68.75,25-50
