Unit,Treatment,Year,TPH
40,None,2001,430.0
40,None,2003,423.75
40,None,2009,417.5
40,None,2016,370.0
40,None,2020,358.75
60,Burn,2001,309.2105263157895
60,Burn,2003,282.89473684210526
60,Burn,2009,240.78947368421052
60,Burn,2016,221.05263157894737
60,Burn,2020,209.21052631578948
180,Burn+Thin,2001,389.0625
180,Burn+Thin,2003,165.625
180,Burn+Thin,2009,125.0
180,Burn+Thin,2016,110.9375
180,Burn+Thin,2020,66.66666666666667
190,Thin,2001,330.35714285714283
190,Thin,2003,230.35714285714286
190,Thin,2009,225.0
190,Thin,2016,214.28571428571428
190,Thin,2020,175.0
240,None,2001,515.2777777777778
240,None,2003,511.1111111111111
240,None,2009,506.94444444444446
240,None,2016,481.94444444444446
240,None,2020,451.3888888888889
340,Burn,2001,420.0
340,Burn,2003,393.75
340,Burn,2009,282.5
340,Burn,2016,251.25
340,Burn,2020,208.75
350,Thin,2001,475.0
350,Thin,2003,201.47058823529412
350,Thin,2009,200.0
350,Thin,2016,198.52941176470588
350,Thin,2020,167.64705882352942
380,Burn+Thin,2001,337.5
380,Burn+Thin,2003,172.5
380,Burn+Thin,2009,136.25
380,Burn+Thin,2016,133.75
380,Burn+Thin,2020,86.11111111111111
400,Burn,2001,418.75
400,Burn,2003,385.0
400,Burn,2009,293.75
400,Burn,2016,240.0
400,Burn,2020,222.5
490,Thin,2001,348.75
490,Thin,2003,200.0
490,Thin,2009,208.75
490,Thin,2016,212.5
490,Thin,2020,150.0
570,Burn+Thin,2001,438.8888888888889
570,Burn+Thin,2003,183.33333333333334
570,Burn+Thin,2009,168.05555555555554
570,Burn+Thin,2016,152.77777777777777
570,Burn+Thin,2020,147.22222222222223
590,None,2001,392.6470588235294
590,None,2003,391.1764705882353
590,None,2009,404.4117647058824
590,None,2016,413.2352941176471
590,None,2020,404.4117647058824
