"Site","PFT","Treatment","Mean","SD","low_ci","upper_ci","DBH"
"Blodgett","cedar","None",-2.61663987172289,0.137300993086459,-2.89976664965147,-2.35296238285555,15
"Blodgett","cedar","Burn",0.281783027431469,0.190151738744267,-0.0783305334954934,0.678771323760249,15
"Blodgett","cedar","Burn+Thin",1.45739232173498,0.214578766814007,1.05562930031537,1.90606319470978,15
"Blodgett","cedar","Thin",0.898075099633762,0.201697279895793,0.503575786151514,1.29009889988026,15
"Blodgett","cedar","None",-2.22289554016642,0.122294845035124,-2.48346699900515,-1.98815452296657,20
"Blodgett","cedar","Burn",0.259598448672183,0.172380305169469,-0.0743461219201667,0.622200322801241,20
"Blodgett","cedar","Burn+Thin",1.21630265779122,0.187330459062262,0.854209594479613,1.60432766643074,20
"Blodgett","cedar","Thin",0.826827932731562,0.180389568869875,0.473399373830476,1.17579864139996,20
"Blodgett","cedar","None",-1.69889792339388,0.114796688811185,-1.93573994462824,-1.47470670725055,30
"Blodgett","cedar","Burn",0.228331041049917,0.160403559558102,-0.0745529205805548,0.567632209940767,30
"Blodgett","cedar","Burn+Thin",0.876505861203893,0.166198480794738,0.546936914998148,1.20847063881096,30
"Blodgett","cedar","Thin",0.72641069093335,0.164891692440761,0.4007322419289,1.06176012862154,30
"Blodgett","cedar","None",-1.36929680975741,0.116599430597187,-1.60471226157514,-1.13306577556431,40
"Blodgett","cedar","Burn",0.206146462290631,0.16283815153335,-0.102598100075907,0.553307660044644,40
"Blodgett","cedar","Burn+Thin",0.63541619726013,0.167248604801743,0.300264474186825,0.968874840390781,40
"Blodgett","cedar","Thin",0.65516352403115,0.166545180968323,0.317218330778509,0.993815074777519,40
"Blodgett","cedar","None",-1.15726033266729,0.120049852764688,-1.40541056203979,-0.91850683091117,50
"Blodgett","cedar","Burn",0.188938766146873,0.170859726350771,-0.137391534325368,0.542781457820811,50
"Blodgett","cedar","Burn+Thin",0.448412525675493,0.177408764407312,0.0924665871331423,0.797961462054339,50
"Blodgett","cedar","Thin",0.599899927978261,0.175059901231588,0.247335854473204,0.956209558026148,50
"Blodgett","cedar","None",-1.02856552989914,0.125415741964279,-1.28618001290031,-0.778456137353414,60
"Blodgett","cedar","Burn",0.174879054668366,0.180887400496055,-0.171565933775334,0.548544601632058,60
"Blodgett","cedar","Burn+Thin",0.295619400672803,0.190866208403832,-0.0870512687778082,0.670624861418252,60
"Blodgett","cedar","Thin",0.554746282232938,0.186100040744044,0.185038648101345,0.923404301219782,60
"Blodgett","cedar","None",-0.964956831186808,0.135807573605613,-1.2357874598226,-0.690312878555033,70
"Blodgett","cedar","Burn",0.162991737991729,0.191422871151543,-0.20354330592819,0.550246775971014,70
