,Unit,Treatment,Year,PFT_simple,BAperTree_m2ha
0,1,Burn+Thin,2012,cedar,2.0267199606471147
1,1,Burn+Thin,2012,fir,37.34682586020872
2,1,Burn+Thin,2012,pine,12.904811772936522
3,1,Burn+Thin,2014,cedar,2.0799525028329424
4,1,Burn+Thin,2014,fir,38.95272948490748
5,1,Burn+Thin,2014,pine,12.950469586168694
6,1,Burn+Thin,2016,cedar,2.147132407403769
7,1,Burn+Thin,2016,fir,39.60225376603717
8,1,Burn+Thin,2016,pine,13.30303918504094
9,1,Burn+Thin,2018,cedar,2.1914790420353802
10,1,Burn+Thin,2018,fir,38.63813170557394
11,1,Burn+Thin,2018,pine,13.379323163322482
12,2,Burn+Thin,2012,cedar,12.853581996067359
13,2,Burn+Thin,2012,fir,26.989882817580128
14,2,Burn+Thin,2012,pine,7.842948971440314
15,2,Burn+Thin,2014,cedar,12.591992047778449
16,2,Burn+Thin,2014,fir,26.90977874989828
17,2,Burn+Thin,2014,pine,8.010633660987233
18,2,Burn+Thin,2016,cedar,12.637425149869427
19,2,Burn+Thin,2016,fir,24.512147961602025
20,2,Burn+Thin,2016,pine,8.121673689660676
21,2,Burn+Thin,2018,cedar,12.83179592367934
22,2,Burn+Thin,2018,fir,21.214682134178183
23,2,Burn+Thin,2018,pine,8.400001345476213
24,3,Burn,2012,cedar,19.47427580150526
25,3,Burn,2012,fir,29.173203776175985
26,3,Burn,2012,oak,2.6369656069606724
27,3,Burn,2012,pine,7.399281912260225
28,3,Burn,2014,cedar,13.40881704601962
29,3,Burn,2014,fir,24.38248090648667
30,3,Burn,2014,oak,2.6417347191417475
31,3,Burn,2014,pine,6.8592508617544
32,3,Burn,2016,cedar,10.8510326638988
33,3,Burn,2016,fir,21.024905939624148
34,3,Burn,2016,oak,2.6429891745416176
35,3,Burn,2016,pine,2.640458447126226
36,3,Burn,2018,cedar,10.342064110755343
37,3,Burn,2018,fir,18.774042069789658
38,3,Burn,2018,oak,1.8472063020948035
39,3,Burn,2018,pine,2.7670864476815447
40,4,Thin,2012,cedar,4.750369526569651
41,4,Thin,2012,fir,12.239313365827954
42,4,Thin,2012,pine,9.033165346530021
43,4,Thin,2012,psme,0.7671791076681925
44,4,Thin,2014,cedar,4.939096341910928
45,4,Thin,2014,fir,12.741582036305317
46,4,Thin,2014,pine,9.30464258503148
47,4,Thin,2014,psme,0.8198007846158214
48,4,Thin,2016,cedar,5.211014276048514
49,4,Thin,2016,fir,13.290978959909658
50,4,Thin,2016,pine,9.682148575591594
51,4,Thin,2016,psme,0.8741677908154448
52,4,Thin,2018,cedar,5.535599702026595
53,4,Thin,2018,fir,12.802448212307056
54,4,Thin,2018,pine,10.068245949394647
55,4,Thin,2018,psme,0.9217520112095052
56,5,Thin,2012,cedar,8.382829487298155
57,5,Thin,2012,fir,10.036101347896043
58,5,Thin,2012,pine,14.994402856563603
59,5,Thin,2014,cedar,8.603120582161749
60,5,Thin,2014,fir,10.372515742879516
61,5,Thin,2014,pine,15.464690550159736
62,5,Thin,2016,cedar,8.91072231827175
63,5,Thin,2016,fir,10.194793228472063
64,5,Thin,2016,pine,15.972662083967991
65,5,Thin,2018,cedar,9.238806583984688
66,5,Thin,2018,fir,10.544310682814881
67,5,Thin,2018,pine,16.12197718313767
68,6,None,2012,cedar,23.3431591535397
69,6,None,2012,fir,30.165212685610967
70,6,None,2012,pine,18.804925670903696
71,6,None,2014,cedar,23.625073460968082
72,6,None,2014,fir,30.544799981304084
73,6,None,2014,pine,19.019830243363323
74,6,None,2016,cedar,23.944878866457262
75,6,None,2016,fir,26.547553116939376
76,6,None,2016,pine,19.463143873369884
77,6,None,2018,cedar,24.261108528641422
78,6,None,2018,fir,15.340154763045245
79,6,None,2018,pine,19.528436640686994
80,7,None,2012,cedar,18.241151597586054
81,7,None,2012,fir,29.618793730042842
82,7,None,2012,oak,0.5967564328572063
83,7,None,2012,pine,17.90873836991278
84,7,None,2014,cedar,18.32570407319892
85,7,None,2014,fir,29.061479556619144
86,7,None,2014,oak,0.5898711089580885
87,7,None,2014,pine,18.180673757342888
88,7,None,2016,cedar,18.343807500865232
89,7,None,2016,fir,27.718271982622742
90,7,None,2016,oak,0.6033995923226096
91,7,None,2016,pine,15.096018107276278
92,7,None,2018,cedar,18.7893704239453
93,7,None,2018,fir,19.488479509124147
94,7,None,2018,oak,0.6071345969218774
95,7,None,2018,pine,15.389198515026287
96,8,Thin,2012,cedar,13.759774396995335
97,8,Thin,2012,fir,11.08620487229721
98,8,Thin,2012,oak,0.41103594715248953
99,8,Thin,2012,other_hardwood,0.07306166415004761
100,8,Thin,2012,pine,19.21379086479902
101,8,Thin,2014,cedar,14.042768626898392
102,8,Thin,2014,fir,11.567782664492182
103,8,Thin,2014,oak,0.41438697931631874
104,8,Thin,2014,other_hardwood,0.06912376502523543
105,8,Thin,2014,pine,17.366665284182123
106,8,Thin,2016,cedar,14.519501494172903
107,8,Thin,2016,fir,12.044227007024723
108,8,Thin,2016,oak,0.42394920195568253
109,8,Thin,2016,other_hardwood,0.0699026182039379
110,8,Thin,2016,pine,18.277419539442498
111,8,Thin,2018,cedar,15.136767181987215
112,8,Thin,2018,fir,9.000734947366402
113,8,Thin,2018,oak,0.43909211487829847
114,8,Thin,2018,pine,17.8993703151527
115,9,Thin,2012,cedar,4.669720043496557
116,9,Thin,2012,fir,13.128892413938509
117,9,Thin,2012,pine,14.952997101721603
118,9,Thin,2014,cedar,4.870539808892591
