Unit,Treatment,Year,BAperTree_m2ha
1,Burn+Thin,2009,84.51380402537961
1,Burn+Thin,2012,51.91271111549955
1,Burn+Thin,2014,53.81067704639626
1,Burn+Thin,2016,55.052425358481884
1,Burn+Thin,2018,54.208933910931805
2,Burn+Thin,2009,75.40431761232145
2,Burn+Thin,2012,47.239328062235366
2,Burn+Thin,2014,47.38801756995128
2,Burn+Thin,2016,45.27124680113213
2,Burn+Thin,2018,42.44647940333374
3,Burn,2009,50.9971375698421
3,Burn,2012,54.94257433536136
3,Burn,2014,45.11304894569716
3,Burn,2016,35.90142271352336
3,Burn,2018,32.539196444204265
4,Thin,2009,51.594041264854944
4,Thin,2012,26.7007232120944
4,Thin,2014,27.73524530959839
4,Thin,2016,28.975500274342775
4,Thin,2018,29.240672510921403
5,Thin,2009,62.31336374758277
5,Thin,2012,33.38286024301798
5,Thin,2014,34.42459927697897
5,Thin,2016,35.08344143465274
5,Thin,2018,35.90509444993724
6,None,2009,67.71297012137093
6,None,2012,70.53809912957371
6,None,2014,71.5084869220516
6,None,2016,68.42746592015229
6,None,2018,58.42219363183115
7,None,2009,58.726694681441906
7,None,2012,61.99828600270493
7,None,2014,62.19298620741116
7,None,2016,58.29109977005229
7,None,2018,51.88792089513653
8,Thin,2009,77.10045639559449
8,Thin,2012,44.52330994846717
8,Thin,2014,43.44999190876831
8,Thin,2016,45.34576636062298
8,Thin,2018,42.599097538112815
9,Thin,2009,56.65904020485083
9,Thin,2012,32.49441129559809
9,Thin,2014,34.11733242591919
9,Thin,2016,35.63481930695809
9,Thin,2018,34.41310628385458
10,Thin,2009,65.82262582515152
10,Thin,2012,34.24603900453055
10,Thin,2014,35.40103899863815
10,Thin,2016,37.07223975397714
10,Thin,2018,38.221652512816796
11,Thin,2009,65.6083315725147
11,Thin,2012,36.644546820775936
11,Thin,2014,37.98395175866455
11,Thin,2016,37.1054031914266
11,Thin,2018,37.88037083088182
12,None,2009,47.90199249097101
12,None,2012,49.27366420340587
12,None,2014,50.322487092468386
12,None,2016,48.76394952200719
12,None,2018,39.078929879796064
13,Burn+Thin,2009,57.490275077728775
13,Burn+Thin,2012,30.793577031221794
13,Burn+Thin,2014,31.434102564412985
13,Burn+Thin,2016,31.135150570992792
13,Burn+Thin,2018,32.2711536864215
14,Burn,2009,65.94678473023066
14,Burn,2012,67.34217001304621
14,Burn,2014,69.18283787543074
14,Burn,2016,65.95439109327701
14,Burn,2018,51.47694167118473
15,Burn+Thin,2009,57.842127455361535
15,Burn+Thin,2012,29.610365971417277
15,Burn+Thin,2014,30.98664426224662
15,Burn+Thin,2016,32.20644996772694
15,Burn+Thin,2018,30.499929747896875
16,Burn,2009,63.07636279169244
16,Burn,2012,63.01558824547643
16,Burn,2014,64.3324920713991
16,Burn,2016,61.674237265471845
16,Burn,2018,48.98893991588177
17,Burn+Thin,2009,74.18104306495279
17,Burn+Thin,2012,37.45885199990954
17,Burn+Thin,2014,38.67722271749548
17,Burn+Thin,2016,37.12932074716362
17,Burn+Thin,2018,33.79368675066023
18,Burn+Thin,2009,54.414831493620355
18,Burn+Thin,2012,28.668435772393153
18,Burn+Thin,2014,27.286503705618127
18,Burn+Thin,2016,28.06850502195888
18,Burn+Thin,2018,27.542951477598347
19,Burn,2009,80.32948568138607
19,Burn,2012,82.1296880850631
19,Burn,2014,83.80511308260732
19,Burn,2016,74.30124716303
19,Burn,2018,63.979697215970276
20,None,2009,69.14849810788205
20,None,2012,70.96208323811445
20,None,2014,72.49784426183712
20,None,2016,63.78855530127655
20,None,2018,61.51048611172661
21,Thin,2009,72.58040488044114
21,Thin,2012,39.49986184380736
21,Thin,2014,40.85942654659072
21,Thin,2016,42.4575867271748
21,Thin,2018,44.14045670541126
22,Burn+Thin,2009,73.73904606770071
22,Burn+Thin,2012,50.72788562613694
22,Burn+Thin,2014,51.211710529743854
22,Burn+Thin,2016,49.2297386294563
22,Burn+Thin,2018,50.22109000791222
23,Burn+Thin,2009,61.06489700870775
23,Burn+Thin,2012,37.90313428765096
23,Burn+Thin,2014,39.018919460543195
23,Burn+Thin,2016,36.754218947648134
23,Burn+Thin,2018,35.97347863169195
24,Thin,2009,78.94277359412214
24,Thin,2012,42.23978660500474
24,Thin,2014,43.4039997559013
24,Thin,2016,44.67338208419991
24,Thin,2018,46.24982891444814
