Unit,Treatment,Year,Size_class,TPH
1,Burn+Thin,2012,25.0,0.0
1,Burn+Thin,2012,40,2.7777777777777777
1,Burn+Thin,2012,60,13.88888888888889
1,Burn+Thin,2012,80,44.44444444444444
1,Burn+Thin,2012,155.3,38.888888888888886
1,Burn+Thin,2014,25.0,0.0
1,Burn+Thin,2014,40,2.7777777777777777
1,Burn+Thin,2014,60,13.88888888888889
1,Burn+Thin,2014,80,44.44444444444444
1,Burn+Thin,2014,155.3,38.888888888888886
1,Burn+Thin,2016,25.0,0.0
1,Burn+Thin,2016,40,2.7777777777777777
1,Burn+Thin,2016,60,13.88888888888889
1,Burn+Thin,2016,80,41.666666666666664
1,Burn+Thin,2016,155.3,41.666666666666664
1,Burn+Thin,2018,25.0,0.0
1,Burn+Thin,2018,40,2.7777777777777777
1,Burn+Thin,2018,60,11.11111111111111
1,Burn+Thin,2018,80,38.888888888888886
1,Burn+Thin,2018,155.3,41.666666666666664
2,Burn+Thin,2012,25.0,30.555555555555554
2,Burn+Thin,2012,40,22.22222222222222
2,Burn+Thin,2012,60,41.666666666666664
2,Burn+Thin,2012,80,27.77777777777778
2,Burn+Thin,2012,155.3,41.666666666666664
2,Burn+Thin,2014,25.0,13.88888888888889
2,Burn+Thin,2014,40,16.666666666666664
2,Burn+Thin,2014,60,44.44444444444444
2,Burn+Thin,2014,80,22.22222222222222
2,Burn+Thin,2014,155.3,44.44444444444444
2,Burn+Thin,2016,25.0,2.7777777777777777
2,Burn+Thin,2016,40,16.666666666666664
2,Burn+Thin,2016,60,44.44444444444444
2,Burn+Thin,2016,80,16.666666666666664
2,Burn+Thin,2016,155.3,44.44444444444444
2,Burn+Thin,2018,25.0,2.7777777777777777
2,Burn+Thin,2018,40,11.11111111111111
2,Burn+Thin,2018,60,44.44444444444444
2,Burn+Thin,2018,80,16.666666666666664
2,Burn+Thin,2018,155.3,38.888888888888886
3,Burn,2012,25.0,563.8888888888889
3,Burn,2012,40,202.77777777777777
3,Burn,2012,60,111.11111111111111
3,Burn,2012,80,22.22222222222222
3,Burn,2012,155.3,0.0
3,Burn,2014,25.0,369.44444444444446
3,Burn,2014,40,158.33333333333331
