Unit,TagNo,Species,Year,DBH,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment,PFT_simple
1,1935.0,ABCO,2012,77.0,L,3.0,2.9000000000000057,0.9666666666666686,2009.0,2012,0,fir,0,77.0,Burn+Thin,fir
1,1936.0,ABCO,2012,116.1,L,3.0,3.5999999999999943,1.1999999999999982,2009.0,2012,0,fir,0,116.1,Burn+Thin,fir
1,1937.0,ABCO,2012,109.8,L,,,,,2012,0,fir,0,109.8,Burn+Thin,fir
1,1938.0,ABCO,2012,31.1,L,3.0,1.0,0.3333333333333333,2009.0,2012,0,fir,0,31.1,Burn+Thin,fir
1,1939.0,ABCO,2012,64.6,L,3.0,1.3999999999999917,0.4666666666666638,2009.0,2012,0,fir,0,64.6,Burn+Thin,fir
1,1940.0,ABCO,2012,64.2,L,3.0,3.5,1.1666666666666667,2009.0,2012,0,fir,0,64.2,Burn+Thin,fir
1,1941.0,ABCO,2012,73.8,L,3.0,1.5,0.5,2009.0,2012,0,fir,0,73.8,Burn+Thin,fir
1,1943.0,ABCO,2012,90.1,L,3.0,1.0999999999999943,0.3666666666666647,2009.0,2012,0,fir,0,90.1,Burn+Thin,fir
1,1942.0,ABCO,2012,85.8,L,3.0,0.7999999999999972,0.2666666666666657,2009.0,2012,0,fir,0,85.8,Burn+Thin,fir
1,1917.0,CADE,2012,40.2,L,3.0,0.6000000000000014,0.2000000000000004,2009.0,2012,0,cedar,0,40.2,Burn+Thin,cedar
1,1918.0,ABCO,2012,83.9,L,3.0,3.8000000000000114,1.2666666666666704,2009.0,2012,0,fir,0,83.9,Burn+Thin,fir
1,1919.0,PILA,2012,152.1,L,3.0,-0.3000000000000113,-0.1000000000000038,2009.0,2012,0,white_pine,0,152.1,Burn+Thin,pine
1,1920.0,PILA,2012,77.7,L,3.0,2.9000000000000057,0.9666666666666686,2009.0,2012,0,white_pine,0,77.7,Burn+Thin,pine
1,1921.0,ABCO,2012,130.3,L,3.0,0.9000000000000057,0.3000000000000019,2009.0,2012,0,fir,0,130.3,Burn+Thin,fir
