Unit,Treatment,Year,PFT,BAperTree_m2ha
1,Burn+Thin,2012,cedar,2.0267199606471147
1,Burn+Thin,2012,fir,37.34682586020872
1,Burn+Thin,2012,oak,0.0
1,Burn+Thin,2012,other_hardwood,0.0
1,Burn+Thin,2012,pine,12.904811772936522
1,Burn+Thin,2012,psme,0.0
1,Burn+Thin,2014,cedar,2.0799525028329424
1,Burn+Thin,2014,fir,38.95272948490748
1,Burn+Thin,2014,oak,0.0
1,Burn+Thin,2014,other_hardwood,0.0
1,Burn+Thin,2014,pine,12.950469586168694
1,Burn+Thin,2014,psme,0.0
1,Burn+Thin,2016,cedar,2.147132407403769
1,Burn+Thin,2016,fir,39.60225376603717
1,Burn+Thin,2016,oak,0.0
1,Burn+Thin,2016,other_hardwood,0.0
1,Burn+Thin,2016,pine,13.30303918504094
1,Burn+Thin,2016,psme,0.0
1,Burn+Thin,2018,cedar,2.1914790420353802
1,Burn+Thin,2018,fir,38.63813170557394
1,Burn+Thin,2018,oak,0.0
1,Burn+Thin,2018,other_hardwood,0.0
1,Burn+Thin,2018,pine,13.379323163322482
1,Burn+Thin,2018,psme,0.0
2,Burn+Thin,2012,cedar,12.705475537404686
2,Burn+Thin,2012,fir,26.93005293082176
2,Burn+Thin,2012,oak,0.0
2,Burn+Thin,2012,other_hardwood,0.0
2,Burn+Thin,2012,pine,7.842948971440314
2,Burn+Thin,2012,psme,0.0
2,Burn+Thin,2014,cedar,12.591992047778449
2,Burn+Thin,2014,fir,26.868231187054555
2,Burn+Thin,2014,oak,0.0
2,Burn+Thin,2014,other_hardwood,0.0
2,Burn+Thin,2014,pine,8.010633660987233
2,Burn+Thin,2014,psme,0.0
2,Burn+Thin,2016,cedar,12.637425149869427
2,Burn+Thin,2016,fir,24.512147961602025
2,Burn+Thin,2016,oak,0.0
2,Burn+Thin,2016,other_hardwood,0.0
2,Burn+Thin,2016,pine,8.121673689660676
2,Burn+Thin,2016,psme,0.0
2,Burn+Thin,2018,cedar,12.83179592367934
2,Burn+Thin,2018,fir,21.214682134178183
2,Burn+Thin,2018,oak,0.0
2,Burn+Thin,2018,other_hardwood,0.0
2,Burn+Thin,2018,pine,8.400001345476213
2,Burn+Thin,2018,psme,0.0
3,Burn,2012,cedar,16.75918489390219
3,Burn,2012,fir,28.620954090092646
3,Burn,2012,oak,2.5650144085472064
3,Burn,2012,other_hardwood,0.0
3,Burn,2012,pine,7.399281912260225
3,Burn,2012,psme,0.0
3,Burn,2014,cedar,11.42049432891638
3,Burn,2014,fir,24.268556721224307
3,Burn,2014,oak,2.618137867654784
3,Burn,2014,other_hardwood,0.0
3,Burn,2014,pine,6.8592508617544
3,Burn,2014,psme,0.0
3,Burn,2016,cedar,9.602596468285691
3,Burn,2016,fir,20.948875034084143
3,Burn,2016,oak,2.6429891745416176
3,Burn,2016,other_hardwood,0.0
3,Burn,2016,pine,2.640458447126226
3,Burn,2016,psme,0.0
3,Burn,2018,cedar,9.231604919158647
3,Burn,2018,fir,18.693298775269273
3,Burn,2018,oak,1.8472063020948035
3,Burn,2018,other_hardwood,0.0
3,Burn,2018,pine,2.7670864476815447
3,Burn,2018,psme,0.0
4,Thin,2012,cedar,4.720504761406463
4,Thin,2012,fir,12.205768137604622
4,Thin,2012,oak,0.0
4,Thin,2012,other_hardwood,0.0
4,Thin,2012,pine,9.033165346530021
4,Thin,2012,psme,0.7671791076681925
4,Thin,2014,cedar,4.906089984094151
4,Thin,2014,fir,12.704711955856938
4,Thin,2014,oak,0.0
4,Thin,2014,other_hardwood,0.0
4,Thin,2014,pine,9.30464258503148
4,Thin,2014,psme,0.8198007846158214
4,Thin,2016,cedar,5.1747092459454676
4,Thin,2016,fir,13.24447466199027
4,Thin,2016,oak,0.0
4,Thin,2016,other_hardwood,0.0
4,Thin,2016,pine,9.682148575591594
4,Thin,2016,psme,0.8741677908154448
4,Thin,2018,cedar,5.4928391353527335
4,Thin,2018,fir,12.757835414964514
4,Thin,2018,oak,0.0
4,Thin,2018,other_hardwood,0.0
4,Thin,2018,pine,10.068245949394647
4,Thin,2018,psme,0.9217520112095052
5,Thin,2012,cedar,8.382829487298155
5,Thin,2012,fir,10.036101347896043
5,Thin,2012,oak,0.0
5,Thin,2012,other_hardwood,0.0
5,Thin,2012,pine,14.994402856563603
5,Thin,2012,psme,0.0
5,Thin,2014,cedar,8.603120582161749
5,Thin,2014,fir,10.372515742879516
5,Thin,2014,oak,0.0
5,Thin,2014,other_hardwood,0.0
5,Thin,2014,pine,15.464690550159736
5,Thin,2014,psme,0.0
5,Thin,2016,cedar,8.91072231827175
5,Thin,2016,fir,10.194793228472063
5,Thin,2016,oak,0.0
5,Thin,2016,other_hardwood,0.0
5,Thin,2016,pine,15.972662083967991
5,Thin,2016,psme,0.0
5,Thin,2018,cedar,9.238806583984688
5,Thin,2018,fir,10.544310682814881
5,Thin,2018,oak,0.0
5,Thin,2018,other_hardwood,0.0
5,Thin,2018,pine,16.12197718313767
5,Thin,2018,psme,0.0
6,None,2012,cedar,22.934032160256578
6,None,2012,fir,28.83715456952188
6,None,2012,oak,0.0
6,None,2012,other_hardwood,0.0
6,None,2012,pine,18.76691239979526
6,None,2012,psme,0.0
6,None,2014,cedar,23.211642049417232
6,None,2014,fir,29.315606040694213
6,None,2014,oak,0.0
6,None,2014,other_hardwood,0.0
6,None,2014,pine,18.981238831940164
6,None,2014,psme,0.0
6,None,2016,cedar,23.597687063342725
6,None,2016,fir,25.40758258935302
6,None,2016,oak,0.0
6,None,2016,other_hardwood,0.0
6,None,2016,pine,19.42219626745653
6,None,2016,psme,0.0
6,None,2018,cedar,24.019873482753894
6,None,2018,fir,14.917257121963889
6,None,2018,oak,0.0
6,None,2018,other_hardwood,0.0
6,None,2018,pine,19.48506302711337
6,None,2018,psme,0.0
7,None,2012,cedar,15.57767443928759
7,None,2012,fir,28.120038049785578
7,None,2012,oak,0.5967564328572063
7,None,2012,other_hardwood,0.0
7,None,2012,pine,17.75555736644993
7,None,2012,psme,0.0
7,None,2014,cedar,15.7690912433385
7,None,2014,fir,27.771356171822152
7,None,2014,oak,0.5898711089580885
