Unit,Treatment,Year,TPH,Size Class
1,Burn+Thin,2012,0.0,9.4-25
1,Burn+Thin,2014,0.0,9.4-25
1,Burn+Thin,2016,0.0,9.4-25
1,Burn+Thin,2018,0.0,9.4-25
2,Burn+Thin,2012,30.555555555555554,9.4-25
2,Burn+Thin,2014,13.88888888888889,9.4-25
2,Burn+Thin,2016,2.7777777777777777,9.4-25
2,Burn+Thin,2018,2.7777777777777777,9.4-25
3,Burn,2012,563.8888888888889,9.4-25
3,Burn,2014,372.22222222222223,9.4-25
3,Burn,2016,241.66666666666666,9.4-25
3,Burn,2018,219.44444444444443,9.4-25
4,Thin,2012,50.0,9.4-25
4,Thin,2014,44.44444444444444,9.4-25
4,Thin,2016,38.888888888888886,9.4-25
4,Thin,2018,33.33333333333333,9.4-25
5,Thin,2012,11.11111111111111,9.4-25
5,Thin,2014,8.333333333333332,9.4-25
5,Thin,2016,8.333333333333332,9.4-25
5,Thin,2018,5.555555555555555,9.4-25
6,None,2012,305.55555555555554,9.4-25
6,None,2014,283.3333333333333,9.4-25
6,None,2016,258.3333333333333,9.4-25
6,None,2018,141.66666666666666,9.4-25
7,None,2012,625.0,9.4-25
7,None,2014,602.7777777777777,9.4-25
7,None,2016,558.3333333333333,9.4-25
7,None,2018,438.88888888888886,9.4-25
8,Thin,2012,16.666666666666664,9.4-25
8,Thin,2014,13.88888888888889,9.4-25
8,Thin,2016,11.11111111111111,9.4-25
8,Thin,2018,5.555555555555555,9.4-25
9,Thin,2012,36.11111111111111,9.4-25
9,Thin,2014,30.555555555555554,9.4-25
9,Thin,2016,30.555555555555554,9.4-25
9,Thin,2018,30.555555555555554,9.4-25
10,Thin,2012,27.77777777777778,9.4-25
10,Thin,2014,25.0,9.4-25
10,Thin,2016,22.22222222222222,9.4-25
10,Thin,2018,22.22222222222222,9.4-25
11,Thin,2012,36.11111111111111,9.4-25
11,Thin,2014,36.11111111111111,9.4-25
11,Thin,2016,30.555555555555554,9.4-25
11,Thin,2018,19.444444444444443,9.4-25
12,None,2012,733.3333333333333,9.4-25
12,None,2014,694.4444444444445,9.4-25
12,None,2016,655.5555555555555,9.4-25
12,None,2018,466.66666666666663,9.4-25
13,Burn+Thin,2012,33.33333333333333,9.4-25
13,Burn+Thin,2014,25.0,9.4-25
13,Burn+Thin,2016,16.666666666666664,9.4-25
13,Burn+Thin,2018,16.666666666666664,9.4-25
14,Burn,2012,411.1111111111111,9.4-25
14,Burn,2014,391.66666666666663,9.4-25
14,Burn,2016,250.0,9.4-25
14,Burn,2018,180.55555555555554,9.4-25
15,Burn+Thin,2012,22.22222222222222,9.4-25
15,Burn+Thin,2014,19.444444444444443,9.4-25
15,Burn+Thin,2016,13.88888888888889,9.4-25
15,Burn+Thin,2018,8.333333333333332,9.4-25
16,Burn,2012,450.0,9.4-25
16,Burn,2014,419.44444444444446,9.4-25
16,Burn,2016,327.77777777777777,9.4-25
16,Burn,2018,225.0,9.4-25
17,Burn+Thin,2012,11.11111111111111,9.4-25
17,Burn+Thin,2014,8.333333333333332,9.4-25
17,Burn+Thin,2016,5.555555555555555,9.4-25
17,Burn+Thin,2018,5.555555555555555,9.4-25
18,Burn+Thin,2012,50.0,9.4-25
18,Burn+Thin,2014,50.0,9.4-25
18,Burn+Thin,2016,38.888888888888886,9.4-25
18,Burn+Thin,2018,38.888888888888886,9.4-25
19,Burn,2012,211.11111111111111,9.4-25
19,Burn,2014,208.33333333333331,9.4-25
19,Burn,2016,136.11111111111111,9.4-25
19,Burn,2018,113.88888888888889,9.4-25
20,None,2012,341.66666666666663,9.4-25
20,None,2014,336.1111111111111,9.4-25
20,None,2016,297.22222222222223,9.4-25
20,None,2018,252.77777777777777,9.4-25
21,Thin,2012,13.88888888888889,9.4-25
21,Thin,2014,8.333333333333332,9.4-25
21,Thin,2016,8.333333333333332,9.4-25
21,Thin,2018,5.555555555555555,9.4-25
22,Burn+Thin,2012,25.0,9.4-25
22,Burn+Thin,2014,19.444444444444443,9.4-25
22,Burn+Thin,2016,8.333333333333332,9.4-25
22,Burn+Thin,2018,8.333333333333332,9.4-25
23,Burn+Thin,2012,16.666666666666664,9.4-25
23,Burn+Thin,2014,13.88888888888889,9.4-25
23,Burn+Thin,2016,5.555555555555555,9.4-25
23,Burn+Thin,2018,2.7777777777777777,9.4-25
24,Thin,2012,8.333333333333332,9.4-25
24,Thin,2014,8.333333333333332,9.4-25
24,Thin,2016,8.333333333333332,9.4-25
24,Thin,2018,5.555555555555555,9.4-25
1,Burn+Thin,2012,5.555555555555555,25-50
1,Burn+Thin,2014,5.555555555555555,25-50
1,Burn+Thin,2016,5.555555555555555,25-50
1,Burn+Thin,2018,5.555555555555555,25-50
2,Burn+Thin,2012,55.55555555555556,25-50
2,Burn+Thin,2014,52.77777777777778,25-50
2,Burn+Thin,2016,50.0,25-50
2,Burn+Thin,2018,38.888888888888886,25-50
3,Burn,2012,266.66666666666663,25-50
3,Burn,2014,213.88888888888889,25-50
3,Burn,2016,166.66666666666666,25-50
3,Burn,2018,147.22222222222223,25-50
4,Thin,2012,33.33333333333333,25-50
4,Thin,2014,38.888888888888886,25-50
4,Thin,2016,44.44444444444444,25-50
4,Thin,2018,47.22222222222222,25-50
5,Thin,2012,36.11111111111111,25-50
5,Thin,2014,38.888888888888886,25-50
5,Thin,2016,36.11111111111111,25-50
5,Thin,2018,33.33333333333333,25-50
6,None,2012,213.88888888888889,25-50
6,None,2014,219.44444444444443,25-50
6,None,2016,208.33333333333331,25-50
6,None,2018,175.0,25-50
7,None,2012,247.2222222222222,25-50
7,None,2014,250.0,25-50
7,None,2016,247.2222222222222,25-50
7,None,2018,188.88888888888889,25-50
8,Thin,2012,91.66666666666666,25-50
8,Thin,2014,88.88888888888889,25-50
8,Thin,2016,91.66666666666666,25-50
8,Thin,2018,69.44444444444444,25-50
9,Thin,2012,52.77777777777778,25-50
9,Thin,2014,58.33333333333333,25-50
9,Thin,2016,55.55555555555556,25-50
9,Thin,2018,55.55555555555556,25-50
10,Thin,2012,83.33333333333333,25-50
10,Thin,2014,80.55555555555556,25-50
10,Thin,2016,80.55555555555556,25-50
10,Thin,2018,69.44444444444444,25-50
11,Thin,2012,119.44444444444444,25-50
11,Thin,2014,113.88888888888889,25-50
11,Thin,2016,105.55555555555556,25-50
11,Thin,2018,100.0,25-50
12,None,2012,236.11111111111111,25-50
12,None,2014,238.88888888888889,25-50
12,None,2016,230.55555555555554,25-50
12,None,2018,175.0,25-50
13,Burn+Thin,2012,38.888888888888886,25-50
13,Burn+Thin,2014,36.11111111111111,25-50
13,Burn+Thin,2016,30.555555555555554,25-50
13,Burn+Thin,2018,30.555555555555554,25-50
14,Burn,2012,275.0,25-50
14,Burn,2014,275.0,25-50
14,Burn,2016,247.2222222222222,25-50
14,Burn,2018,194.44444444444443,25-50
15,Burn+Thin,2012,72.22222222222221,25-50
15,Burn+Thin,2014,72.22222222222221,25-50
15,Burn+Thin,2016,61.11111111111111,25-50
15,Burn+Thin,2018,58.33333333333333,25-50
16,Burn,2012,175.0,25-50
16,Burn,2014,183.33333333333331,25-50
16,Burn,2016,183.33333333333331,25-50
16,Burn,2018,141.66666666666666,25-50
17,Burn+Thin,2012,80.55555555555556,25-50
17,Burn+Thin,2014,77.77777777777777,25-50
17,Burn+Thin,2016,66.66666666666666,25-50
17,Burn+Thin,2018,47.22222222222222,25-50
18,Burn+Thin,2012,66.66666666666666,25-50
18,Burn+Thin,2014,61.11111111111111,25-50
18,Burn+Thin,2016,61.11111111111111,25-50
18,Burn+Thin,2018,61.11111111111111,25-50
19,Burn,2012,213.88888888888889,25-50
19,Burn,2014,211.11111111111111,25-50
19,Burn,2016,158.33333333333331,25-50
19,Burn,2018,125.0,25-50
20,None,2012,297.22222222222223,25-50
20,None,2014,286.1111111111111,25-50
20,None,2016,280.55555555555554,25-50
20,None,2018,263.88888888888886,25-50
21,Thin,2012,50.0,25-50
21,Thin,2014,47.22222222222222,25-50
21,Thin,2016,47.22222222222222,25-50
21,Thin,2018,44.44444444444444,25-50
22,Burn+Thin,2012,69.44444444444444,25-50
22,Burn+Thin,2014,55.55555555555556,25-50
22,Burn+Thin,2016,50.0,25-50
22,Burn+Thin,2018,44.44444444444444,25-50
23,Burn+Thin,2012,50.0,25-50
23,Burn+Thin,2014,52.77777777777778,25-50
23,Burn+Thin,2016,44.44444444444444,25-50
23,Burn+Thin,2018,33.33333333333333,25-50
24,Thin,2012,55.55555555555556,25-50
24,Thin,2014,52.77777777777778,25-50
24,Thin,2016,47.22222222222222,25-50
24,Thin,2018,47.22222222222222,25-50
1,Burn+Thin,2012,47.22222222222222,50-75
1,Burn+Thin,2014,44.44444444444444,50-75
1,Burn+Thin,2016,44.44444444444444,50-75
1,Burn+Thin,2018,38.888888888888886,50-75
2,Burn+Thin,2012,30.555555555555554,50-75
2,Burn+Thin,2014,27.77777777777778,50-75
2,Burn+Thin,2016,27.77777777777778,50-75
2,Burn+Thin,2018,33.33333333333333,50-75
3,Burn,2012,69.44444444444444,50-75
3,Burn,2014,63.888888888888886,50-75
3,Burn,2016,50.0,50-75
3,Burn,2018,44.44444444444444,50-75
4,Thin,2012,52.77777777777778,50-75
4,Thin,2014,47.22222222222222,50-75
4,Thin,2016,47.22222222222222,50-75
4,Thin,2018,44.44444444444444,50-75
5,Thin,2012,47.22222222222222,50-75
5,Thin,2014,47.22222222222222,50-75
5,Thin,2016,44.44444444444444,50-75
5,Thin,2018,47.22222222222222,50-75
6,None,2012,69.44444444444444,50-75
6,None,2014,69.44444444444444,50-75
6,None,2016,61.11111111111111,50-75
6,None,2018,44.44444444444444,50-75
7,None,2012,72.22222222222221,50-75
7,None,2014,72.22222222222221,50-75
7,None,2016,61.11111111111111,50-75
7,None,2018,55.55555555555556,50-75
8,Thin,2012,66.66666666666666,50-75
8,Thin,2014,69.44444444444444,50-75
8,Thin,2016,69.44444444444444,50-75
8,Thin,2018,61.11111111111111,50-75
9,Thin,2012,47.22222222222222,50-75
9,Thin,2014,41.666666666666664,50-75
9,Thin,2016,41.666666666666664,50-75
9,Thin,2018,33.33333333333333,50-75
10,Thin,2012,58.33333333333333,50-75
10,Thin,2014,63.888888888888886,50-75
10,Thin,2016,66.66666666666666,50-75
10,Thin,2018,63.888888888888886,50-75
11,Thin,2012,52.77777777777778,50-75
11,Thin,2014,58.33333333333333,50-75
11,Thin,2016,63.888888888888886,50-75
11,Thin,2018,69.44444444444444,50-75
12,None,2012,41.666666666666664,50-75
12,None,2014,47.22222222222222,50-75
12,None,2016,47.22222222222222,50-75
12,None,2018,41.666666666666664,50-75
13,Burn+Thin,2012,58.33333333333333,50-75
13,Burn+Thin,2014,58.33333333333333,50-75
13,Burn+Thin,2016,58.33333333333333,50-75
13,Burn+Thin,2018,55.55555555555556,50-75
14,Burn,2012,100.0,50-75
14,Burn,2014,102.77777777777777,50-75
14,Burn,2016,102.77777777777777,50-75
14,Burn,2018,72.22222222222221,50-75
15,Burn+Thin,2012,63.888888888888886,50-75
15,Burn+Thin,2014,63.888888888888886,50-75
15,Burn+Thin,2016,72.22222222222221,50-75
15,Burn+Thin,2018,63.888888888888886,50-75
16,Burn,2012,66.66666666666666,50-75
16,Burn,2014,66.66666666666666,50-75
16,Burn,2016,69.44444444444444,50-75
16,Burn,2018,66.66666666666666,50-75
17,Burn+Thin,2012,41.666666666666664,50-75
17,Burn+Thin,2014,44.44444444444444,50-75
17,Burn+Thin,2016,41.666666666666664,50-75
17,Burn+Thin,2018,36.11111111111111,50-75
18,Burn+Thin,2012,27.77777777777778,50-75
18,Burn+Thin,2014,30.555555555555554,50-75
18,Burn+Thin,2016,33.33333333333333,50-75
18,Burn+Thin,2018,25.0,50-75
19,Burn,2012,113.88888888888889,50-75
19,Burn,2014,113.88888888888889,50-75
19,Burn,2016,102.77777777777777,50-75
19,Burn,2018,80.55555555555556,50-75
20,None,2012,75.0,50-75
20,None,2014,83.33333333333333,50-75
20,None,2016,69.44444444444444,50-75
20,None,2018,66.66666666666666,50-75
21,Thin,2012,52.77777777777778,50-75
21,Thin,2014,61.11111111111111,50-75
21,Thin,2016,55.55555555555556,50-75
21,Thin,2018,61.11111111111111,50-75
22,Burn+Thin,2012,47.22222222222222,50-75
22,Burn+Thin,2014,50.0,50-75
22,Burn+Thin,2016,55.55555555555556,50-75
22,Burn+Thin,2018,58.33333333333333,50-75
23,Burn+Thin,2012,63.888888888888886,50-75
23,Burn+Thin,2014,63.888888888888886,50-75
23,Burn+Thin,2016,61.11111111111111,50-75
