Unit,Treatment,Year,Size_class,TPH
1,Burn+Thin,2009,20,30.555555555555554
1,Burn+Thin,2009,30,41.666666666666664
1,Burn+Thin,2009,40,33.33333333333333
1,Burn+Thin,2009,50,30.555555555555554
1,Burn+Thin,2009,60,41.666666666666664
1,Burn+Thin,2009,70,44.44444444444444
1,Burn+Thin,2009,80,25.0
1,Burn+Thin,2009,90,22.22222222222222
1,Burn+Thin,2009,100,13.88888888888889
1,Burn+Thin,2009,155.3,13.88888888888889
1,Burn+Thin,2012,20,0.0
1,Burn+Thin,2012,30,0.0
1,Burn+Thin,2012,40,2.7777777777777777
1,Burn+Thin,2012,50,2.7777777777777777
1,Burn+Thin,2012,60,11.11111111111111
1,Burn+Thin,2012,70,33.33333333333333
1,Burn+Thin,2012,80,11.11111111111111
1,Burn+Thin,2012,90,13.88888888888889
1,Burn+Thin,2012,100,11.11111111111111
1,Burn+Thin,2012,155.3,13.88888888888889
1,Burn+Thin,2014,20,0.0
1,Burn+Thin,2014,30,0.0
1,Burn+Thin,2014,40,2.7777777777777777
1,Burn+Thin,2014,50,2.7777777777777777
1,Burn+Thin,2014,60,11.11111111111111
1,Burn+Thin,2014,70,27.77777777777778
1,Burn+Thin,2014,80,16.666666666666664
1,Burn+Thin,2014,90,11.11111111111111
1,Burn+Thin,2014,100,13.88888888888889
1,Burn+Thin,2014,155.3,13.88888888888889
1,Burn+Thin,2016,20,0.0
1,Burn+Thin,2016,30,0.0
1,Burn+Thin,2016,40,2.7777777777777777
1,Burn+Thin,2016,50,2.7777777777777777
1,Burn+Thin,2016,60,11.11111111111111
1,Burn+Thin,2016,70,16.666666666666664
1,Burn+Thin,2016,80,25.0
1,Burn+Thin,2016,90,11.11111111111111
1,Burn+Thin,2016,100,16.666666666666664
1,Burn+Thin,2016,155.3,13.88888888888889
1,Burn+Thin,2018,20,0.0
1,Burn+Thin,2018,30,0.0
1,Burn+Thin,2018,40,2.7777777777777777
1,Burn+Thin,2018,50,2.7777777777777777
1,Burn+Thin,2018,60,8.333333333333332
1,Burn+Thin,2018,70,11.11111111111111
1,Burn+Thin,2018,80,27.77777777777778
1,Burn+Thin,2018,90,8.333333333333332
1,Burn+Thin,2018,100,19.444444444444443
1,Burn+Thin,2018,155.3,13.88888888888889
2,Burn+Thin,2009,20,66.66666666666666
2,Burn+Thin,2009,30,177.77777777777777
2,Burn+Thin,2009,40,80.55555555555556
2,Burn+Thin,2009,50,55.55555555555556
2,Burn+Thin,2009,60,16.666666666666664
2,Burn+Thin,2009,70,25.0
2,Burn+Thin,2009,80,19.444444444444443
2,Burn+Thin,2009,90,25.0
2,Burn+Thin,2009,100,11.11111111111111
2,Burn+Thin,2009,155.3,5.555555555555555
2,Burn+Thin,2012,20,5.555555555555555
2,Burn+Thin,2012,30,13.88888888888889
2,Burn+Thin,2012,40,19.444444444444443
2,Burn+Thin,2012,50,30.555555555555554
2,Burn+Thin,2012,60,8.333333333333332
2,Burn+Thin,2012,70,16.666666666666664
2,Burn+Thin,2012,80,11.11111111111111
2,Burn+Thin,2012,90,25.0
2,Burn+Thin,2012,100,8.333333333333332
2,Burn+Thin,2012,155.3,8.333333333333332
2,Burn+Thin,2014,20,2.7777777777777777
2,Burn+Thin,2014,30,13.88888888888889
2,Burn+Thin,2014,40,11.11111111111111
2,Burn+Thin,2014,50,36.11111111111111
2,Burn+Thin,2014,60,8.333333333333332
2,Burn+Thin,2014,70,5.555555555555555
2,Burn+Thin,2014,80,16.666666666666664
2,Burn+Thin,2014,90,25.0
2,Burn+Thin,2014,100,11.11111111111111
2,Burn+Thin,2014,155.3,8.333333333333332
2,Burn+Thin,2016,20,0.0
2,Burn+Thin,2016,30,8.333333333333332
2,Burn+Thin,2016,40,11.11111111111111
2,Burn+Thin,2016,50,33.33333333333333
2,Burn+Thin,2016,60,11.11111111111111
2,Burn+Thin,2016,70,2.7777777777777777
2,Burn+Thin,2016,80,13.88888888888889
2,Burn+Thin,2016,90,25.0
2,Burn+Thin,2016,100,11.11111111111111
2,Burn+Thin,2016,155.3,8.333333333333332
2,Burn+Thin,2018,20,0.0
2,Burn+Thin,2018,30,5.555555555555555
2,Burn+Thin,2018,40,8.333333333333332
2,Burn+Thin,2018,50,27.77777777777778
2,Burn+Thin,2018,60,16.666666666666664
2,Burn+Thin,2018,70,2.7777777777777777
2,Burn+Thin,2018,80,13.88888888888889
2,Burn+Thin,2018,90,22.22222222222222
2,Burn+Thin,2018,100,8.333333333333332
2,Burn+Thin,2018,155.3,8.333333333333332
3,Burn,2009,20,144.44444444444443
3,Burn,2009,30,222.22222222222223
3,Burn,2009,40,125.0
3,Burn,2009,50,69.44444444444444
3,Burn,2009,60,36.11111111111111
3,Burn,2009,70,19.444444444444443
3,Burn,2009,80,0.0
3,Burn,2009,90,0.0
3,Burn,2009,100,0.0
3,Burn,2009,155.3,0.0
3,Burn,2012,20,133.33333333333331
3,Burn,2012,30,241.66666666666666
3,Burn,2012,40,122.22222222222221
3,Burn,2012,50,69.44444444444444
3,Burn,2012,60,41.666666666666664
3,Burn,2012,70,16.666666666666664
3,Burn,2012,80,5.555555555555555
3,Burn,2012,90,0.0
3,Burn,2012,100,0.0
3,Burn,2012,155.3,0.0
3,Burn,2014,20,100.0
3,Burn,2014,30,169.44444444444443
3,Burn,2014,40,88.88888888888889
3,Burn,2014,50,58.33333333333333
3,Burn,2014,60,44.44444444444444
3,Burn,2014,70,16.666666666666664
3,Burn,2014,80,2.7777777777777777
3,Burn,2014,90,0.0
3,Burn,2014,100,0.0
3,Burn,2014,155.3,0.0
3,Burn,2016,20,61.11111111111111
3,Burn,2016,30,133.33333333333331
3,Burn,2016,40,80.55555555555556
3,Burn,2016,50,41.666666666666664
3,Burn,2016,60,33.33333333333333
3,Burn,2016,70,11.11111111111111
3,Burn,2016,80,5.555555555555555
3,Burn,2016,90,0.0
3,Burn,2016,100,0.0
3,Burn,2016,155.3,0.0
3,Burn,2018,20,58.33333333333333
3,Burn,2018,30,119.44444444444444
3,Burn,2018,40,63.888888888888886
3,Burn,2018,50,44.44444444444444
3,Burn,2018,60,27.77777777777778
3,Burn,2018,70,11.11111111111111
3,Burn,2018,80,5.555555555555555
3,Burn,2018,90,0.0
3,Burn,2018,100,0.0
3,Burn,2018,155.3,0.0
4,Thin,2009,20,119.44444444444444
4,Thin,2009,30,130.55555555555554
4,Thin,2009,40,88.88888888888889
4,Thin,2009,50,44.44444444444444
4,Thin,2009,60,47.22222222222222
4,Thin,2009,70,19.444444444444443
4,Thin,2009,80,11.11111111111111
4,Thin,2009,90,2.7777777777777777
4,Thin,2009,100,0.0
4,Thin,2009,155.3,2.7777777777777777
4,Thin,2012,20,16.666666666666664
4,Thin,2012,30,33.33333333333333
4,Thin,2012,40,16.666666666666664
4,Thin,2012,50,11.11111111111111
4,Thin,2012,60,22.22222222222222
4,Thin,2012,70,25.0
4,Thin,2012,80,8.333333333333332
4,Thin,2012,90,2.7777777777777777
4,Thin,2012,100,0.0
4,Thin,2012,155.3,2.7777777777777777
4,Thin,2014,20,11.11111111111111
4,Thin,2014,30,36.11111111111111
4,Thin,2014,40,19.444444444444443
4,Thin,2014,50,11.11111111111111
4,Thin,2014,60,16.666666666666664
4,Thin,2014,70,30.555555555555554
4,Thin,2014,80,8.333333333333332
4,Thin,2014,90,2.7777777777777777
4,Thin,2014,100,0.0
4,Thin,2014,155.3,2.7777777777777777
4,Thin,2016,20,5.555555555555555
4,Thin,2016,30,41.666666666666664
4,Thin,2016,40,19.444444444444443
4,Thin,2016,50,11.11111111111111
4,Thin,2016,60,16.666666666666664
4,Thin,2016,70,27.77777777777778
4,Thin,2016,80,11.11111111111111
4,Thin,2016,90,2.7777777777777777
4,Thin,2016,100,0.0
4,Thin,2016,155.3,2.7777777777777777
4,Thin,2018,20,5.555555555555555
4,Thin,2018,30,38.888888888888886
4,Thin,2018,40,19.444444444444443
4,Thin,2018,50,11.11111111111111
4,Thin,2018,60,13.88888888888889
4,Thin,2018,70,27.77777777777778
4,Thin,2018,80,8.333333333333332
4,Thin,2018,90,2.7777777777777777
4,Thin,2018,100,2.7777777777777777
4,Thin,2018,155.3,2.7777777777777777
5,Thin,2009,20,91.66666666666666
5,Thin,2009,30,125.0
5,Thin,2009,40,83.33333333333333
5,Thin,2009,50,75.0
5,Thin,2009,60,38.888888888888886
5,Thin,2009,70,33.33333333333333
5,Thin,2009,80,11.11111111111111
5,Thin,2009,90,8.333333333333332
5,Thin,2009,100,0.0
5,Thin,2009,155.3,5.555555555555555
5,Thin,2012,20,5.555555555555555
5,Thin,2012,30,8.333333333333332
5,Thin,2012,40,11.11111111111111
5,Thin,2012,50,22.22222222222222
5,Thin,2012,60,19.444444444444443
5,Thin,2012,70,25.0
5,Thin,2012,80,8.333333333333332
5,Thin,2012,90,11.11111111111111
5,Thin,2012,100,0.0
5,Thin,2012,155.3,5.555555555555555
5,Thin,2014,20,5.555555555555555
5,Thin,2014,30,8.333333333333332
5,Thin,2014,40,11.11111111111111
5,Thin,2014,50,22.22222222222222
5,Thin,2014,60,16.666666666666664
5,Thin,2014,70,27.77777777777778
5,Thin,2014,80,8.333333333333332
5,Thin,2014,90,8.333333333333332
5,Thin,2014,100,2.7777777777777777
5,Thin,2014,155.3,5.555555555555555
5,Thin,2016,20,5.555555555555555
5,Thin,2016,30,8.333333333333332
5,Thin,2016,40,8.333333333333332
5,Thin,2016,50,22.22222222222222
5,Thin,2016,60,16.666666666666664
5,Thin,2016,70,22.22222222222222
5,Thin,2016,80,13.88888888888889
5,Thin,2016,90,8.333333333333332
5,Thin,2016,100,2.7777777777777777
5,Thin,2016,155.3,5.555555555555555
5,Thin,2018,20,2.7777777777777777
5,Thin,2018,30,8.333333333333332
5,Thin,2018,40,8.333333333333332
5,Thin,2018,50,19.444444444444443
5,Thin,2018,60,13.88888888888889
5,Thin,2018,70,22.22222222222222
5,Thin,2018,80,16.666666666666664
5,Thin,2018,90,11.11111111111111
5,Thin,2018,100,2.7777777777777777
5,Thin,2018,155.3,5.555555555555555
6,None,2009,20,86.11111111111111
6,None,2009,30,125.0
6,None,2009,40,122.22222222222221
6,None,2009,50,44.44444444444444
6,None,2009,60,44.44444444444444
6,None,2009,70,22.22222222222222
6,None,2009,80,8.333333333333332
6,None,2009,90,13.88888888888889
6,None,2009,100,5.555555555555555
6,None,2009,155.3,8.333333333333332
6,None,2012,20,83.33333333333333
6,None,2012,30,122.22222222222221
6,None,2012,40,116.66666666666666
6,None,2012,50,52.77777777777778
6,None,2012,60,38.888888888888886
6,None,2012,70,27.77777777777778
6,None,2012,80,8.333333333333332
6,None,2012,90,13.88888888888889
6,None,2012,100,5.555555555555555
6,None,2012,155.3,8.333333333333332
6,None,2014,20,80.55555555555556
