Unit,Treatment,Year,TPH
1,Burn+Thin,2009,297.22222222222223
1,Burn+Thin,2012,100.0
1,Burn+Thin,2014,100.0
1,Burn+Thin,2016,100.0
1,Burn+Thin,2018,94.44444444444444
2,Burn+Thin,2009,483.3333333333333
2,Burn+Thin,2012,147.22222222222223
2,Burn+Thin,2014,138.88888888888889
2,Burn+Thin,2016,125.0
2,Burn+Thin,2018,113.88888888888889
3,Burn,2009,616.6666666666666
3,Burn,2012,630.5555555555555
3,Burn,2014,480.55555555555554
3,Burn,2016,366.66666666666663
3,Burn,2018,330.55555555555554
4,Thin,2009,466.66666666666663
4,Thin,2012,138.88888888888889
4,Thin,2014,138.88888888888889
4,Thin,2016,138.88888888888889
4,Thin,2018,133.33333333333331
5,Thin,2009,472.22222222222223
5,Thin,2012,116.66666666666666
5,Thin,2014,116.66666666666666
5,Thin,2016,113.88888888888889
5,Thin,2018,111.11111111111111
6,None,2009,480.55555555555554
6,None,2012,477.77777777777777
6,None,2014,469.4444444444444
6,None,2016,441.66666666666663
6,None,2018,338.88888888888886
7,None,2009,597.2222222222222
7,None,2012,611.1111111111111
7,None,2014,619.4444444444445
7,None,2016,608.3333333333333
7,None,2018,513.8888888888889
8,Thin,2009,641.6666666666666
8,Thin,2012,197.22222222222223
8,Thin,2014,194.44444444444443
8,Thin,2016,194.44444444444443
8,Thin,2018,161.11111111111111
9,Thin,2009,397.22222222222223
9,Thin,2012,138.88888888888889
9,Thin,2014,147.22222222222223
9,Thin,2016,150.0
9,Thin,2018,141.66666666666666
10,Thin,2009,691.6666666666666
10,Thin,2012,172.22222222222223
10,Thin,2014,175.0
10,Thin,2016,175.0
10,Thin,2018,166.66666666666666
11,Thin,2009,694.4444444444445
11,Thin,2012,213.88888888888889
11,Thin,2014,213.88888888888889
11,Thin,2016,208.33333333333331
11,Thin,2018,200.0
12,None,2009,638.8888888888889
12,None,2012,644.4444444444445
12,None,2014,641.6666666666666
12,None,2016,619.4444444444445
12,None,2018,469.4444444444444
13,Burn+Thin,2009,452.77777777777777
13,Burn+Thin,2012,138.88888888888889
13,Burn+Thin,2014,130.55555555555554
13,Burn+Thin,2016,119.44444444444444
13,Burn+Thin,2018,119.44444444444444
14,Burn,2009,647.2222222222222
14,Burn,2012,619.4444444444445
14,Burn,2014,622.2222222222222
14,Burn,2016,536.1111111111111
14,Burn,2018,408.3333333333333
15,Burn+Thin,2009,547.2222222222222
15,Burn+Thin,2012,161.11111111111111
15,Burn+Thin,2014,163.88888888888889
15,Burn+Thin,2016,155.55555555555554
15,Burn+Thin,2018,138.88888888888889
16,Burn,2009,552.7777777777777
16,Burn,2012,541.6666666666666
16,Burn,2014,541.6666666666666
16,Burn,2016,511.1111111111111
16,Burn,2018,394.44444444444446
17,Burn+Thin,2009,683.3333333333333
17,Burn+Thin,2012,155.55555555555554
17,Burn+Thin,2014,155.55555555555554
17,Burn+Thin,2016,141.66666666666666
17,Burn+Thin,2018,116.66666666666666
18,Burn+Thin,2009,600.0
18,Burn+Thin,2012,152.77777777777777
18,Burn+Thin,2014,147.22222222222223
18,Burn+Thin,2016,141.66666666666666
18,Burn+Thin,2018,136.11111111111111
19,Burn,2009,486.1111111111111
19,Burn,2012,477.77777777777777
19,Burn,2014,480.55555555555554
19,Burn,2016,383.3333333333333
19,Burn,2018,322.22222222222223
20,None,2009,605.5555555555555
20,None,2012,600.0
20,None,2014,608.3333333333333
20,None,2016,555.5555555555555
20,None,2018,511.1111111111111
21,Thin,2009,525.0
21,Thin,2012,141.66666666666666
21,Thin,2014,141.66666666666666
21,Thin,2016,141.66666666666666
21,Thin,2018,144.44444444444443
22,Burn+Thin,2009,497.22222222222223
22,Burn+Thin,2012,172.22222222222223
22,Burn+Thin,2014,155.55555555555554
22,Burn+Thin,2016,144.44444444444443
22,Burn+Thin,2018,141.66666666666666
23,Burn+Thin,2009,416.66666666666663
23,Burn+Thin,2012,150.0
23,Burn+Thin,2014,150.0
23,Burn+Thin,2016,130.55555555555554
23,Burn+Thin,2018,116.66666666666666
24,Thin,2009,441.66666666666663
24,Thin,2012,127.77777777777777
24,Thin,2014,127.77777777777777
24,Thin,2016,127.77777777777777
24,Thin,2018,127.77777777777777
