Unit,Treatment,DBH_timeframe,Year,BAperTree_m2ha
bc1,Burn+Thin,DBH_10Post,2011.0,33.863027832357496
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,24.555165878855043
bc1,Burn+Thin,DBH_1PostRX,2018.0,22.55831584667392
bc1,Burn+Thin,DBH_2008,2008.0,25.361624526311505
bc1,Burn+Thin,DBH_2PostRX,2019.0,21.660501631566603
bc1,Burn+Thin,DBH_Post,2003.0,39.13377044290914
bc1,Burn+Thin,DBH_Pre,1999.0,71.87460521738278
bc2,Burn+Thin,DBH_10Post,2011.0,32.01102452286597
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,29.022646722527206
bc2,Burn+Thin,DBH_1PostRX,2018.0,25.70627763540074
bc2,Burn+Thin,DBH_2008,2008.0,27.90470704975646
bc2,Burn+Thin,DBH_2PostRX,2019.0,24.425497959984256
bc2,Burn+Thin,DBH_Post,2003.0,32.44800538935317
bc2,Burn+Thin,DBH_Pre,2000.0,64.22430437432651
bc3,Burn+Thin,DBH_10Post,2011.0,34.91665329892595
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,31.330426128335077
bc3,Burn+Thin,DBH_1PostRX,2018.0,24.94560493192441
bc3,Burn+Thin,DBH_2008,2008.0,31.25447046830245
bc3,Burn+Thin,DBH_2PostRX,2019.0,22.277014657049303
bc3,Burn+Thin,DBH_Post,2003.0,37.5393993655407
bc3,Burn+Thin,DBH_Pre,2000.0,57.63245810533102
bn1,Burn,DBH_10Post,2011.0,48.67286059575943
bn1,Burn,DBH_15Post,2016.110465116279,38.443763649936244
bn1,Burn,DBH_1PostRX,2018.0,36.58360479385574
bn1,Burn,DBH_2008,2008.0,24.807878797616596
bn1,Burn,DBH_2PostRX,2019.0,33.87315032613982
bn1,Burn,DBH_Post,2004.0,47.17107291818952
bn1,Burn,DBH_Pre,2000.0,51.52577974679912
bn2,Burn,DBH_10Post,2011.0,55.13308640359769
bn2,Burn,DBH_15Post,2016.1170520231215,35.961307861769164
bn2,Burn,DBH_1PostRX,2018.0,33.17837181735087
bn2,Burn,DBH_2008,2008.0,25.05251156010878
bn2,Burn,DBH_2PostRX,2019.0,31.43307678471819
bn2,Burn,DBH_Post,2004.0,52.853327669383425
bn2,Burn,DBH_Pre,2000.0,58.59957733954041
bn3,Burn,DBH_10Post,2011.0,54.0331285534412
bn3,Burn,DBH_15Post,2016.105580693816,42.623173153894506
bn3,Burn,DBH_1PostRX,2018.0,40.54813464632306
bn3,Burn,DBH_2008,2008.0,31.970823002883613
bn3,Burn,DBH_2PostRX,2019.0,39.49690048345165
bn3,Burn,DBH_Post,2003.0,55.35376954988558
bn3,Burn,DBH_Pre,2001.0,56.2783962040345
uc1,Thin,DBH_10Post,2011.0,48.94996311394316
uc1,Thin,DBH_15Post,2019.0,38.24412829569197
uc1,Thin,DBH_2008,2008.0,39.08755304984801
uc1,Thin,DBH_Post,2003.0,45.398524565951355
uc1,Thin,DBH_Pre,1999.0,63.54698382135909
uc2,Thin,DBH_10Post,2011.0,42.68503419857619
uc2,Thin,DBH_15Post,2018.0,33.29887170510305
uc2,Thin,DBH_2008,2008.0,33.00531462769577
uc2,Thin,DBH_Post,2004.0,35.17122578007476
uc2,Thin,DBH_Pre,2000.0,62.56082787357067
uc3,Thin,DBH_10Post,2011.0,42.65685901532152
uc3,Thin,DBH_15Post,2018.0,26.340478222403892
uc3,Thin,DBH_2008,2008.0,32.36636760016043
uc3,Thin,DBH_Post,2004.0,40.64521143251513
uc3,Thin,DBH_Pre,2000.0,63.064141058155506
un1,None,DBH_10Post,2011.0,53.2373880706786
un1,None,DBH_15Post,2018.0,45.18985900015221
un1,None,DBH_2008,2008.0,30.887956922654553
un1,None,DBH_Post,2002.0,50.243633858628215
un2,None,DBH_10Post,2011.0,49.26971637772094
un2,None,DBH_15Post,2018.0,36.64865048014663
un2,None,DBH_2008,2008.0,23.883930550897606
un2,None,DBH_Post,2002.0,45.44280649250094
un3,None,DBH_10Post,2011.0,58.89075807459033
un3,None,DBH_15Post,2019.0,44.51439360673413
un3,None,DBH_2008,2008.0,36.099540294721606
un3,None,DBH_Post,2002.0,56.76000805294825
