x, y,Treatment,Timeframe,Mg_ha,Fuel_class,Year
3.294377067,19.49251248,Burn,Post,19.5,1000-hr,2003
3.307607497,24.88352745,Burn,Post,5.4,100-hr,2003
3.201764057,27.07986689,Burn,Post,2.2,10-hr,2003
3.360529217,,Burn,Post,0.1,1-hr,2003
2.606394708,52.03826955,Burn,Pre,52.0,1000-hr,2000
2.632855568,54.83361065,Burn,Pre,2.8,100-hr,2000
2.527012128,57.42928453,Burn,Pre,2.6,10-hr,2000
2.619625138,58.72712146,Burn,Pre,1.3,1-hr,2000
7.303197354,19.09317804,Burn+Thin,Post,19.1,1000-hr,2003
7.316427784,25.48252912,Burn+Thin,Post,6.4,100-hr,2003
7.078280044,27.87853577,Burn+Thin,Post,2.4,10-hr,2003
7.223814774,,Burn+Thin,Post,0.2,1-hr,2003
6.628445424,52.83693844,Burn+Thin,Pre,52.8,1000-hr,2000
6.588754135,58.42762063,Burn+Thin,Pre,5.6,100-hr,2000
6.588754135,63.61896839,Burn+Thin,Pre,5.2,10-hr,2000
6.787210584,65.31613977,Burn+Thin,Pre,1.7,1-hr,2000
0.992282249,55.63227953,None,2002,55.6,1000-hr,2002
0.992282249,60.22462562,None,2002,4.6,100-hr,2002
0.899669239,63.01996672,None,2002,2.8,10-hr,2002
1.111356119,63.41930116,None,2002,0.4,1-hr,2002
5.292171996,33.36938436,Thin,Post,33.4,1000-hr,2003
5.371554576,41.95507488,Thin,Post,8.6,100-hr,2003
5.252480706,46.64725458,Thin,Post,4.7,10-hr,2003
5.437706725,47.24625624,Thin,Post,0.6,1-hr,2003
4.604189636,61.62229617,Thin,Pre,61.6,1000-hr,2000
4.590959206,69.20965058,Thin,Pre,7.6,100-hr,2000
4.604189636,72.50415973,Thin,Pre,3.3,10-hr,2000
4.498346196,73.70216306,Thin,Pre,1.2,1-hr,2000
