Treatment,Plot,TreeID_clean,Species_clean,DBH_timeframe,dbh,Year,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment_raw,PFT_simple
Burn+Thin,bc1,bc1_19,pije,DBH_15Post,111.5,2017,1.0,6.0,4.700000000000003,0.7833333333333338,2011.0,2017,0,yellow_pine,0,111.5,Burn/Understory Thin,pine
Burn+Thin,bc1,bc1_20,abco,DBH_15Post,92.2,2016,1.0,5.0,6.0,1.2,2011.0,2016,0,fir,0,92.2,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_21,abco,DBH_15Post,39.9,2016,1.0,5.0,17.799999999999997,3.56,2011.0,2016,0,fir,1,30.88571428571429,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_22,abco,DBH_15Post,35.9,2016,1.0,5.0,4.699999999999999,0.9399999999999998,2011.0,2016,0,fir,0,35.9,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_23,cade,DBH_15Post,23.5,2016,1.0,5.0,2.1000000000000014,0.4200000000000002,2011.0,2016,0,cedar,0,23.5,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_25,abco,DBH_15Post,94.4,2016,2.0,5.0,6.0,1.2,2011.0,2016,0,fir,0,94.4,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_35,cade,DBH_15Post,105.1,2016,1.0,5.0,1.5,0.3,2011.0,2016,0,cedar,0,105.1,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_47,abco,DBH_15Post,24.5,2016,1.0,5.0,3.3999999999999986,0.6799999999999997,2011.0,2016,0,fir,0,24.5,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_48,abco,DBH_15Post,105.1,2017,2.0,6.0,0.0,0.0,2011.0,2017,0,fir,0,105.1,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_51,cade,DBH_15Post,132.0,2016,1.0,5.0,2.4000000000000057,0.4800000000000011,2011.0,2016,0,cedar,0,132.0,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_55,cade,DBH_15Post,33.6,2016,1.0,5.0,5.400000000000002,1.0800000000000003,2011.0,2016,0,cedar,0,33.6,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_61,cade,DBH_15Post,25.6,2016,1.0,5.0,1.6000000000000014,0.3200000000000003,2011.0,2016,0,cedar,0,25.6,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_65,abco,DBH_15Post,42.3,2016,1.0,5.0,5.5,1.1,2011.0,2016,0,fir,0,42.3,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_67,cade,DBH_15Post,89.6,2016,1.0,5.0,1.5,0.3,2011.0,2016,0,cedar,0,89.6,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_68,cade,DBH_15Post,114.4,2016,1.0,5.0,-1.3999999999999917,-0.2799999999999983,2011.0,2016,0,cedar,0,114.4,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_73,abco,DBH_15Post,26.7,2016,2.0,5.0,0.3000000000000007,0.0600000000000001,2011.0,2016,0,fir,0,26.7,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_77,pila,DBH_15Post,115.8,2017,1.0,6.0,3.799999999999997,0.6333333333333329,2011.0,2017,0,white_pine,0,115.8,Burn/Understory Thin,pine
Burn+Thin,bc1,bc1_90,abco,DBH_15Post,21.1,2016,1.0,5.0,0.0,0.0,2011.0,2016,0,fir,0,21.1,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_93,pila,DBH_15Post,34.8,2016,1.0,5.0,5.399999999999999,1.0799999999999996,2011.0,2016,0,white_pine,0,34.8,Burn/Understory Thin,pine
Burn+Thin,bc1,bc1_103,cade,DBH_15Post,24.6,2016,1.0,5.0,5.400000000000002,1.0800000000000003,2011.0,2016,0,cedar,0,24.6,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_105,abco,DBH_15Post,20.8,2016,1.0,5.0,1.1999999999999993,0.2399999999999998,2011.0,2016,0,fir,0,20.8,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_106,abco,DBH_15Post,27.3,2016,1.0,5.0,2.6000000000000014,0.5200000000000002,2011.0,2016,0,fir,0,27.3,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_127,cade,DBH_15Post,29.1,2016,1.0,5.0,3.1000000000000014,0.6200000000000003,2011.0,2016,0,cedar,0,29.1,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_154,abco,DBH_15Post,32.6,2016,1.0,5.0,5.300000000000001,1.06,2011.0,2016,0,fir,0,32.6,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_159,abco,DBH_15Post,142.5,2016,1.0,5.0,4.099999999999994,0.8199999999999988,2011.0,2016,0,fir,0,142.5,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_170,abco,DBH_15Post,28.7,2016,1.0,5.0,1.8999999999999984,0.3799999999999997,2011.0,2016,0,fir,0,28.7,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_171,abco,DBH_15Post,110.5,2016,2.0,5.0,-0.0999999999999943,-0.0199999999999988,2011.0,2016,0,fir,0,110.5,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_215,abco,DBH_15Post,82.5,2016,2.0,5.0,1.5,0.3,2011.0,2016,0,fir,0,82.5,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_216,cade,DBH_15Post,24.8,2016,1.0,5.0,3.900000000000002,0.7800000000000005,2011.0,2016,0,cedar,0,24.8,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_220,abma,DBH_15Post,100.1,2016,2.0,8.0,3.799999999999997,0.4749999999999996,2008.0,2016,0,fir,0,100.1,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_221,abco,DBH_15Post,91.5,2016,1.0,5.0,2.9000000000000057,0.5800000000000012,2011.0,2016,0,fir,0,91.5,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_227,cade,DBH_15Post,18.6,2016,1.0,5.0,2.5,0.5,2011.0,2016,0,cedar,0,18.6,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_228,abco,DBH_15Post,19.0,2016,1.0,5.0,3.6999999999999993,0.7399999999999999,2011.0,2016,0,fir,0,19.0,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_229,cade,DBH_15Post,21.4,2016,1.0,5.0,1.1999999999999993,0.2399999999999998,2011.0,2016,0,cedar,0,21.4,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_233,abma,DBH_15Post,90.8,2016,2.0,5.0,2.5999999999999943,0.5199999999999989,2011.0,2016,0,fir,0,90.8,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_236,cade,DBH_15Post,27.8,2016,1.0,5.0,4.0,0.8,2011.0,2016,0,cedar,0,27.8,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_240,cade,DBH_15Post,29.6,2016,1.0,5.0,4.0,0.8,2011.0,2016,0,cedar,0,29.6,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_241,abma,DBH_15Post,101.2,2016,1.0,5.0,3.6000000000000085,0.7200000000000017,2011.0,2016,0,fir,0,101.2,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_242,cade,DBH_15Post,26.7,2016,1.0,5.0,4.599999999999998,0.9199999999999996,2011.0,2016,0,cedar,0,26.7,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_245,abco,DBH_15Post,21.6,2016,2.0,5.0,1.400000000000002,0.2800000000000004,2011.0,2016,0,fir,0,21.6,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_267,abco,DBH_15Post,20.4,2016,1.0,5.0,4.599999999999998,0.9199999999999996,2011.0,2016,0,fir,0,20.4,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_271,cade,DBH_15Post,30.6,2016,1.0,5.0,3.5,0.7,2011.0,2016,0,cedar,0,30.6,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_273,abco,DBH_15Post,23.4,2016,1.0,5.0,1.5,0.3,2011.0,2016,0,fir,0,23.4,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_276,cade,DBH_15Post,36.8,2016,1.0,5.0,-1.0,-0.2,2011.0,2016,0,cedar,0,36.8,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_278,cade,DBH_15Post,21.4,2016,1.0,5.0,3.599999999999998,0.7199999999999995,2011.0,2016,0,cedar,0,21.4,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_279,cade,DBH_15Post,23.9,2016,1.0,5.0,1.599999999999998,0.3199999999999995,2011.0,2016,0,cedar,0,23.9,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_283,abco,DBH_15Post,86.9,2016,1.0,5.0,2.700000000000003,0.5400000000000006,2011.0,2016,0,fir,0,86.9,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_285,cade,DBH_15Post,19.4,2016,1.0,5.0,2.6999999999999997,0.5399999999999998,2011.0,2016,0,cedar,0,19.4,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_289,abco,DBH_15Post,28.9,2016,2.0,5.0,3.1999999999999997,0.6399999999999999,2011.0,2016,0,fir,0,28.9,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_297,cade,DBH_15Post,19.2,2016,1.0,5.0,1.3999999999999986,0.2799999999999997,2011.0,2016,0,cedar,0,19.2,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_298,abco,DBH_15Post,42.2,2016,1.0,5.0,4.800000000000004,0.9600000000000009,2011.0,2016,0,fir,0,42.2,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_309,cade,DBH_15Post,28.4,2016,1.0,5.0,3.5,0.7,2011.0,2016,0,cedar,0,28.4,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_310,abco,DBH_15Post,28.6,2016,1.0,5.0,6.700000000000003,1.3400000000000003,2011.0,2016,0,fir,0,28.6,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_7922,cade,DBH_15Post,34.7,2016,1.0,5.0,4.000000000000004,0.8000000000000007,2011.0,2016,0,cedar,0,34.7,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_322,abco,DBH_15Post,25.7,2016,2.0,5.0,4.0,0.8,2011.0,2016,0,fir,0,25.7,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_334,abco,DBH_15Post,26.4,2016,1.0,5.0,3.6999999999999993,0.7399999999999999,2011.0,2016,0,fir,0,26.4,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_341,abco,DBH_15Post,41.6,2016,1.0,5.0,6.899999999999999,1.3799999999999997,2011.0,2016,0,fir,0,41.6,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_346,abco,DBH_15Post,165.0,2016,1.0,5.0,0.1999999999999886,0.0399999999999977,2011.0,2016,0,fir,0,165.0,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_358,cade,DBH_15Post,161.2,2016,1.0,5.0,4.299999999999983,0.8599999999999965,2011.0,2016,0,cedar,0,161.2,Burn/Understory Thin,cedar
