Treatment,Plot,TreeID_clean,Species_clean,DBH_timeframe,dbh,Year,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment_raw,PFT_simple,start_year_raw,end_year_raw
Burn+Thin,bc1,bc1_19,pije,DBH_1PostRX,112.2,2018,1.0,1.0,0.7000000000000028,0.7000000000000028,2017.0,2018,0,yellow_pine,0,112.2,Burn/Understory Thin,pine,2017.0,2018
Burn+Thin,bc1,bc1_20,abco,DBH_1PostRX,93.0,2018,1.0,2.0,0.7999999999999972,0.3999999999999986,2016.0,2018,0,fir,0,93.0,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_21,abco,DBH_1PostRX,34.4,2018,2.0,7.0,12.299999999999995,1.757142857142857,2011.0,2018,0,fir,0,34.4,Burn/Understory Thin,fir,2011.0,2018
Burn+Thin,bc1,bc1_22,abco,DBH_1PostRX,37.9,2018,2.0,2.0,2.0,1.0,2016.0,2018,0,fir,0,37.9,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_23,cade,DBH_1PostRX,21.3,2018,2.0,2.0,-2.1999999999999997,-1.0999999999999996,2016.0,2018,0,cedar,0,21.3,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_35,cade,DBH_1PostRX,103.6,2018,1.0,2.0,-1.5,-0.75,2016.0,2018,0,cedar,0,103.6,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_47,abco,DBH_1PostRX,25.4,2018,1.0,2.0,0.8999999999999986,0.4499999999999993,2016.0,2018,0,fir,0,25.4,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_51,cade,DBH_1PostRX,130.9,2018,1.0,2.0,-1.0999999999999943,-0.5499999999999972,2016.0,2018,0,cedar,0,130.9,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_55,cade,DBH_1PostRX,33.9,2018,2.0,2.0,0.2999999999999971,0.1499999999999985,2016.0,2018,0,cedar,0,33.9,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_61,cade,DBH_1PostRX,24.8,2018,2.0,2.0,-0.8000000000000007,-0.4000000000000003,2016.0,2018,0,cedar,0,24.8,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_65,abco,DBH_1PostRX,42.6,2018,1.0,2.0,0.3000000000000042,0.1500000000000021,2016.0,2018,0,fir,0,42.6,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_67,cade,DBH_1PostRX,86.9,2018,1.0,2.0,-2.6999999999999886,-1.3499999999999943,2016.0,2018,0,cedar,0,86.9,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_68,cade,DBH_1PostRX,113.5,2018,2.0,2.0,-0.9000000000000057,-0.4500000000000028,2016.0,2018,0,cedar,0,113.5,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_77,pila,DBH_1PostRX,112.3,2018,1.0,1.0,-3.5,-3.5,2017.0,2018,0,white_pine,0,112.3,Burn/Understory Thin,pine,2017.0,2018
Burn+Thin,bc1,bc1_90,abco,DBH_1PostRX,28.6,2018,1.0,2.0,7.5,3.75,2016.0,2018,0,fir,1,25.966666666666665,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_93,pila,DBH_1PostRX,35.0,2018,1.0,2.0,0.2000000000000028,0.1000000000000014,2016.0,2018,0,white_pine,0,35.0,Burn/Understory Thin,pine,2016.0,2018
Burn+Thin,bc1,bc1_101,abco,DBH_1PostRX,19.0,2018,1.0,2.0,-0.3999999999999986,-0.1999999999999993,2016.0,2018,0,fir,0,19.0,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_103,cade,DBH_1PostRX,27.0,2018,1.0,2.0,2.3999999999999986,1.1999999999999993,2016.0,2018,0,cedar,0,27.0,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_104,cade,DBH_1PostRX,21.1,2018,1.0,2.0,0.8000000000000007,0.4000000000000003,2016.0,2018,0,cedar,0,21.1,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_105,abco,DBH_1PostRX,22.2,2018,1.0,2.0,1.3999999999999986,0.6999999999999993,2016.0,2018,0,fir,0,22.2,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_106,abco,DBH_1PostRX,28.3,2018,1.0,2.0,1.0,0.5,2016.0,2018,0,fir,0,28.3,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_127,cade,DBH_1PostRX,28.5,2018,1.0,2.0,-0.6000000000000014,-0.3000000000000007,2016.0,2018,0,cedar,0,28.5,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_154,abco,DBH_1PostRX,34.3,2018,1.0,2.0,1.6999999999999955,0.8499999999999979,2016.0,2018,0,fir,0,34.3,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_159,abco,DBH_1PostRX,142.4,2018,1.0,2.0,-0.0999999999999943,-0.0499999999999971,2016.0,2018,0,fir,0,142.4,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_170,abco,DBH_1PostRX,28.9,2018,1.0,2.0,0.1999999999999993,0.0999999999999996,2016.0,2018,0,fir,0,28.9,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_216,cade,DBH_1PostRX,25.8,2018,1.0,2.0,1.0,0.5,2016.0,2018,0,cedar,0,25.8,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_221,abco,DBH_1PostRX,89.5,2018,2.0,2.0,-2.0,-1.0,2016.0,2018,0,fir,0,89.5,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_222,cade,DBH_1PostRX,17.4,2018,1.0,2.0,1.1999999999999993,0.5999999999999996,2016.0,2018,0,cedar,0,17.4,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_225,cade,DBH_1PostRX,17.9,2018,1.0,2.0,1.3999999999999986,0.6999999999999993,2016.0,2018,0,cedar,0,17.9,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_227,cade,DBH_1PostRX,18.4,2018,2.0,2.0,-0.2000000000000028,-0.1000000000000014,2016.0,2018,0,cedar,0,18.4,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_228,abco,DBH_1PostRX,20.8,2018,2.0,2.0,1.8000000000000007,0.9000000000000004,2016.0,2018,0,fir,0,20.8,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_229,cade,DBH_1PostRX,23.5,2018,1.0,2.0,2.1000000000000014,1.0500000000000007,2016.0,2018,0,cedar,0,23.5,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_236,cade,DBH_1PostRX,27.5,2018,1.0,2.0,-0.3000000000000007,-0.1500000000000003,2016.0,2018,0,cedar,0,27.5,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_240,cade,DBH_1PostRX,29.0,2018,1.0,2.0,-0.6000000000000014,-0.3000000000000007,2016.0,2018,0,cedar,0,29.0,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_241,abma,DBH_1PostRX,100.6,2018,1.0,2.0,-0.6000000000000085,-0.3000000000000042,2016.0,2018,0,fir,0,100.6,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_242,cade,DBH_1PostRX,28.3,2018,1.0,2.0,1.6000000000000014,0.8000000000000007,2016.0,2018,0,cedar,0,28.3,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_267,abco,DBH_1PostRX,18.6,2018,1.0,2.0,-1.7999999999999972,-0.8999999999999986,2016.0,2018,0,fir,0,18.6,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_271,cade,DBH_1PostRX,32.2,2018,1.0,2.0,1.6000000000000014,0.8000000000000007,2016.0,2018,0,cedar,0,32.2,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_273,abco,DBH_1PostRX,24.3,2018,1.0,2.0,0.9000000000000021,0.450000000000001,2016.0,2018,0,fir,0,24.3,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_276,cade,DBH_1PostRX,37.5,2018,1.0,2.0,0.7000000000000028,0.3500000000000014,2016.0,2018,0,cedar,0,37.5,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_278,cade,DBH_1PostRX,21.6,2018,1.0,2.0,0.2000000000000028,0.1000000000000014,2016.0,2018,0,cedar,0,21.6,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_279,cade,DBH_1PostRX,25.0,2018,1.0,2.0,1.1000000000000014,0.5500000000000007,2016.0,2018,0,cedar,0,25.0,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_283,abco,DBH_1PostRX,88.0,2018,1.0,2.0,1.0999999999999943,0.5499999999999972,2016.0,2018,0,fir,0,88.0,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_285,cade,DBH_1PostRX,20.5,2018,1.0,2.0,1.1000000000000014,0.5500000000000007,2016.0,2018,0,cedar,0,20.5,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_297,cade,DBH_1PostRX,19.9,2018,1.0,2.0,0.6999999999999993,0.3499999999999996,2016.0,2018,0,cedar,0,19.9,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_298,abco,DBH_1PostRX,44.4,2018,1.0,2.0,2.199999999999996,1.099999999999998,2016.0,2018,0,fir,0,44.4,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_309,cade,DBH_1PostRX,29.3,2018,1.0,2.0,0.9000000000000021,0.450000000000001,2016.0,2018,0,cedar,0,29.3,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_310,abco,DBH_1PostRX,30.3,2018,1.0,2.0,1.6999999999999993,0.8499999999999996,2016.0,2018,0,fir,0,30.3,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_311,abco,DBH_1PostRX,16.4,2018,1.0,2.0,0.5999999999999979,0.2999999999999989,2016.0,2018,0,fir,0,16.4,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_314,abco,DBH_1PostRX,17.5,2018,2.0,1.0,-0.6999999999999993,-0.6999999999999993,2017.0,2018,0,fir,0,17.5,Burn/Understory Thin,fir,2017.0,2018
Burn+Thin,bc1,bc1_7922,cade,DBH_1PostRX,36.1,2018,1.0,2.0,1.3999999999999986,0.6999999999999993,2016.0,2018,0,cedar,0,36.1,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_334,abco,DBH_1PostRX,26.4,2018,2.0,2.0,0.0,0.0,2016.0,2018,0,fir,0,26.4,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_341,abco,DBH_1PostRX,42.5,2018,1.0,2.0,0.8999999999999986,0.4499999999999993,2016.0,2018,0,fir,0,42.5,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_346,abco,DBH_1PostRX,167.3,2018,1.0,2.0,2.300000000000012,1.1500000000000057,2016.0,2018,0,fir,0,167.3,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_358,cade,DBH_1PostRX,160.5,2018,1.0,2.0,-0.6999999999999886,-0.3499999999999943,2016.0,2018,0,cedar,0,160.5,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_413,abco,DBH_1PostRX,22.6,2018,2.0,2.0,-8.7,-4.35,2016.0,2018,0,fir,1,32.94,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_440,abco,DBH_1PostRX,28.1,2018,1.0,2.0,0.6000000000000014,0.3000000000000007,2016.0,2018,0,fir,0,28.1,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_455,abco,DBH_1PostRX,29.0,2018,1.0,2.0,1.5,0.75,2016.0,2018,0,fir,0,29.0,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_456,abco,DBH_1PostRX,16.0,2018,2.0,2.0,0.5999999999999996,0.2999999999999998,2016.0,2018,0,fir,0,16.0,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_466,abco,DBH_1PostRX,37.5,2018,1.0,2.0,1.2999999999999972,0.6499999999999986,2016.0,2018,0,fir,0,37.5,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_467,abco,DBH_1PostRX,28.0,2018,1.0,2.0,1.5,0.75,2016.0,2018,0,fir,0,28.0,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_472,abco,DBH_1PostRX,15.8,2018,1.0,2.0,0.3000000000000007,0.1500000000000003,2016.0,2018,0,fir,0,15.8,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_473,abco,DBH_1PostRX,24.5,2018,1.0,2.0,1.3000000000000007,0.6500000000000004,2016.0,2018,0,fir,0,24.5,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_474,abco,DBH_1PostRX,18.4,2018,1.0,2.0,1.1999999999999993,0.5999999999999996,2016.0,2018,0,fir,0,18.4,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_475,abco,DBH_1PostRX,38.8,2018,1.0,2.0,1.1999999999999955,0.5999999999999979,2016.0,2018,0,fir,0,38.8,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_482,abco,DBH_1PostRX,34.4,2018,1.0,2.0,0.1999999999999957,0.0999999999999978,2016.0,2018,0,fir,0,34.4,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_489,pije,DBH_1PostRX,27.0,2018,1.0,2.0,0.8000000000000007,0.4000000000000003,2016.0,2018,0,yellow_pine,0,27.0,Burn/Understory Thin,pine,2016.0,2018
Burn+Thin,bc1,bc1_493,cade,DBH_1PostRX,29.0,2018,1.0,2.0,1.3000000000000007,0.6500000000000004,2016.0,2018,0,cedar,0,29.0,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_494,abco,DBH_1PostRX,92.5,2018,1.0,2.0,2.0,1.0,2016.0,2018,0,fir,0,92.5,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_501,abco,DBH_1PostRX,102.0,2018,1.0,2.0,-0.4000000000000057,-0.2000000000000028,2016.0,2018,0,fir,0,102.0,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_16203,cade,DBH_1PostRX,30.4,2018,1.0,1.0,7.399999999999999,7.399999999999999,2017.0,2018,0,cedar,1,23.0,Burn/Understory Thin,cedar,2017.0,2018
Burn+Thin,bc1,bc1_508,cade,DBH_1PostRX,16.6,2018,2.0,2.0,-0.5,-0.25,2016.0,2018,0,cedar,0,16.6,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_512,cade,DBH_1PostRX,27.0,2018,1.0,2.0,-0.6999999999999993,-0.3499999999999996,2016.0,2018,0,cedar,0,27.0,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_526,abma,DBH_1PostRX,19.7,2018,1.0,2.0,2.0,1.0,2016.0,2018,0,fir,0,19.7,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_527,abco,DBH_1PostRX,16.0,2018,1.0,2.0,0.5,0.25,2016.0,2018,0,fir,0,16.0,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_528,abma,DBH_1PostRX,29.9,2018,1.0,2.0,1.099999999999998,0.5499999999999989,2016.0,2018,0,fir,0,29.9,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_529,cade,DBH_1PostRX,27.0,2018,1.0,2.0,1.5,0.75,2016.0,2018,0,cedar,0,27.0,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_530,abco,DBH_1PostRX,29.2,2018,1.0,2.0,0.3000000000000007,0.1500000000000003,2016.0,2018,0,fir,0,29.2,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_548,abco,DBH_1PostRX,85.2,2018,2.0,2.0,1.6000000000000083,0.8000000000000043,2016.0,2018,0,fir,0,85.2,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_552,cade,DBH_1PostRX,16.9,2018,1.0,2.0,0.9999999999999982,0.4999999999999991,2016.0,2018,0,cedar,0,16.9,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_558,abma,DBH_1PostRX,34.8,2018,1.0,2.0,0.5999999999999943,0.2999999999999971,2016.0,2018,0,fir,0,34.8,Burn/Understory Thin,fir,2016.0,2018
Burn+Thin,bc1,bc1_559,cade,DBH_1PostRX,89.3,2018,1.0,2.0,0.3999999999999915,0.1999999999999957,2016.0,2018,0,cedar,0,89.3,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_614,cade,DBH_1PostRX,148.1,2018,1.0,2.0,-1.5,-0.75,2016.0,2018,0,cedar,0,148.1,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_620,cade,DBH_1PostRX,31.7,2018,2.0,2.0,0.3000000000000007,0.1500000000000003,2016.0,2018,0,cedar,0,31.7,Burn/Understory Thin,cedar,2016.0,2018
Burn+Thin,bc1,bc1_621,cade,DBH_1PostRX,45.0,2018,1.0,2.0,2.200000000000003,1.1000000000000014,2016.0,2018,0,cedar,0,45.0,Burn/Understory Thin,cedar,2016.0,2018
