Treatment,Plot,TreeID_clean,Species_clean,DBH_timeframe,dbh,Year,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment_raw,PFT_simple,start_year_raw,end_year_raw
Burn+Thin,bc1,bc1_11,abco,DBH_2PostRX,15.4,2019,1.0,1.0,0.3000000000000007,0.3000000000000007,2018.0,2019,0,fir,0,15.4,Burn/Understory Thin,fir,2018.0,2019
Burn+Thin,bc1,bc1_19,pije,DBH_2PostRX,110.9,2019,1.0,1.0,-1.2999999999999972,-1.2999999999999972,2018.0,2019,0,yellow_pine,0,110.9,Burn/Understory Thin,pine,2018.0,2019
Burn+Thin,bc1,bc1_20,abco,DBH_2PostRX,90.1,2019,2.0,1.0,-2.9000000000000057,-2.9000000000000057,2018.0,2019,0,fir,1,93.4,Burn/Understory Thin,fir,2018.0,2019
Burn+Thin,bc1,bc1_35,cade,DBH_2PostRX,103.3,2019,1.0,1.0,-0.2999999999999971,-0.2999999999999971,2018.0,2019,0,cedar,0,103.3,Burn/Understory Thin,cedar,2018.0,2019
Burn+Thin,bc1,bc1_47,abco,DBH_2PostRX,26.9,2019,1.0,1.0,1.5,1.5,2018.0,2019,0,fir,0,26.9,Burn/Understory Thin,fir,2018.0,2019
Burn+Thin,bc1,bc1_51,cade,DBH_2PostRX,128.6,2019,1.0,1.0,-2.300000000000012,-2.300000000000012,2018.0,2019,0,cedar,0,128.6,Burn/Understory Thin,cedar,2018.0,2019
Burn+Thin,bc1,bc1_65,abco,DBH_2PostRX,43.6,2019,1.0,1.0,1.0,1.0,2018.0,2019,0,fir,0,43.6,Burn/Understory Thin,fir,2018.0,2019
Burn+Thin,bc1,bc1_67,cade,DBH_2PostRX,88.4,2019,1.0,1.0,1.5,1.5,2018.0,2019,0,cedar,0,88.4,Burn/Understory Thin,cedar,2018.0,2019
Burn+Thin,bc1,bc1_77,pila,DBH_2PostRX,111.5,2019,1.0,1.0,-0.7999999999999972,-0.7999999999999972,2018.0,2019,0,white_pine,0,111.5,Burn/Understory Thin,pine,2018.0,2019
Burn+Thin,bc1,bc1_90,abco,DBH_2PostRX,28.4,2019,1.0,3.0,7.299999999999997,2.433333333333332,2016.0,2019,0,fir,0,28.4,Burn/Understory Thin,fir,2016.0,2019
Burn+Thin,bc1,bc1_93,pila,DBH_2PostRX,35.8,2019,1.0,1.0,0.7999999999999972,0.7999999999999972,2018.0,2019,0,white_pine,0,35.8,Burn/Understory Thin,pine,2018.0,2019
Burn+Thin,bc1,bc1_101,abco,DBH_2PostRX,20.2,2019,1.0,1.0,1.1999999999999993,1.1999999999999993,2018.0,2019,0,fir,0,20.2,Burn/Understory Thin,fir,2018.0,2019
Burn+Thin,bc1,bc1_103,cade,DBH_2PostRX,24.8,2019,1.0,1.0,-2.1999999999999997,-2.1999999999999997,2018.0,2019,0,cedar,0,24.8,Burn/Understory Thin,cedar,2018.0,2019
Burn+Thin,bc1,bc1_104,cade,DBH_2PostRX,21.9,2019,1.0,1.0,0.7999999999999972,0.7999999999999972,2018.0,2019,0,cedar,0,21.9,Burn/Understory Thin,cedar,2018.0,2019
Burn+Thin,bc1,bc1_105,abco,DBH_2PostRX,22.0,2019,1.0,1.0,-0.1999999999999993,-0.1999999999999993,2018.0,2019,0,fir,0,22.0,Burn/Understory Thin,fir,2018.0,2019
Burn+Thin,bc1,bc1_106,abco,DBH_2PostRX,28.6,2019,1.0,1.0,0.3000000000000007,0.3000000000000007,2018.0,2019,0,fir,0,28.6,Burn/Understory Thin,fir,2018.0,2019
Burn+Thin,bc1,bc1_127,cade,DBH_2PostRX,28.9,2019,1.0,1.0,0.3999999999999986,0.3999999999999986,2018.0,2019,0,cedar,0,28.9,Burn/Understory Thin,cedar,2018.0,2019
Burn+Thin,bc1,bc1_154,abco,DBH_2PostRX,34.6,2019,1.0,1.0,0.3000000000000042,0.3000000000000042,2018.0,2019,0,fir,0,34.6,Burn/Understory Thin,fir,2018.0,2019
Burn+Thin,bc1,bc1_159,abco,DBH_2PostRX,142.9,2019,1.0,1.0,0.5,0.5,2018.0,2019,0,fir,0,142.9,Burn/Understory Thin,fir,2018.0,2019
Burn+Thin,bc1,bc1_170,abco,DBH_2PostRX,28.8,2019,1.0,1.0,-0.0999999999999978,-0.0999999999999978,2018.0,2019,0,fir,0,28.8,Burn/Understory Thin,fir,2018.0,2019
Burn+Thin,bc1,bc1_216,cade,DBH_2PostRX,26.3,2019,1.0,1.0,0.5,0.5,2018.0,2019,0,cedar,0,26.3,Burn/Understory Thin,cedar,2018.0,2019
Burn+Thin,bc1,bc1_222,cade,DBH_2PostRX,17.6,2019,1.0,1.0,0.2000000000000028,0.2000000000000028,2018.0,2019,0,cedar,0,17.6,Burn/Understory Thin,cedar,2018.0,2019
Burn+Thin,bc1,bc1_225,cade,DBH_2PostRX,17.4,2019,1.0,1.0,-0.5,-0.5,2018.0,2019,0,cedar,0,17.4,Burn/Understory Thin,cedar,2018.0,2019
Burn+Thin,bc1,bc1_229,cade,DBH_2PostRX,23.6,2019,1.0,1.0,0.1000000000000014,0.1000000000000014,2018.0,2019,0,cedar,0,23.6,Burn/Understory Thin,cedar,2018.0,2019
