Treatment,Plot,TreeID_clean,Species_clean,DBH_timeframe,dbh,Year,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment_raw,PFT_simple,start_year_raw,end_year_raw
Burn+Thin,bc1,bc1_6,pije,DBH_2008,127.4,2008,2.0,5.0,-0.0999999999999943,-0.0199999999999988,2003.0,2008,0,yellow_pine,0,127.4,Burn/Understory Thin,pine,2003.0,2008
Burn+Thin,bc1,bc1_19,pije,DBH_10Post,106.8,2011,1.0,3.0,1.8999999999999917,0.6333333333333305,2008.0,2011,0,yellow_pine,0,106.8,Burn/Understory Thin,pine,2008.0,2011
Burn+Thin,bc1,bc1_20,abco,DBH_10Post,86.2,2011,1.0,3.0,2.5,0.8333333333333334,2008.0,2011,0,fir,0,86.2,Burn/Understory Thin,fir,2008.0,2011
Burn+Thin,bc1,bc1_21,abco,DBH_10Post,22.1,2011,1.0,8.0,2.3000000000000007,0.2875000000000001,2003.0,2011,0,fir,0,22.1,Burn/Understory Thin,fir,2003.0,2011
Burn+Thin,bc1,bc1_22,abco,DBH_10Post,31.2,2011,1.0,8.0,7.399999999999999,0.9249999999999998,2003.0,2011,0,fir,0,31.2,Burn/Understory Thin,fir,2003.0,2011
Burn+Thin,bc1,bc1_23,cade,DBH_10Post,21.4,2011,1.0,8.0,4.199999999999999,0.5249999999999999,2003.0,2011,0,cedar,0,21.4,Burn/Understory Thin,cedar,2003.0,2011
Burn+Thin,bc1,bc1_25,abco,DBH_10Post,88.4,2011,1.0,3.0,1.0,0.3333333333333333,2008.0,2011,0,fir,0,88.4,Burn/Understory Thin,fir,2008.0,2011
Burn+Thin,bc1,bc1_35,cade,DBH_10Post,103.6,2011,1.0,3.0,1.2999999999999972,0.4333333333333324,2008.0,2011,0,cedar,0,103.6,Burn/Understory Thin,cedar,2008.0,2011
Burn+Thin,bc1,bc1_42,pije,DBH_10Post,152.8,2011,2.0,3.0,1.4000000000000057,0.4666666666666685,2008.0,2011,0,yellow_pine,0,152.8,Burn/Understory Thin,pine,2008.0,2011
Burn+Thin,bc1,bc1_46,cade,DBH_10Post,131.2,2011,2.0,3.0,-1.3000000000000114,-0.4333333333333371,2008.0,2011,0,cedar,0,131.2,Burn/Understory Thin,cedar,2008.0,2011
Burn+Thin,bc1,bc1_47,abco,DBH_10Post,21.1,2011,1.0,8.0,5.300000000000001,0.6625000000000001,2003.0,2011,0,fir,0,21.1,Burn/Understory Thin,fir,2003.0,2011
Burn+Thin,bc1,bc1_48,abco,DBH_10Post,105.1,2011,1.0,3.0,0.8999999999999915,0.2999999999999971,2008.0,2011,0,fir,0,105.1,Burn/Understory Thin,fir,2008.0,2011
Burn+Thin,bc1,bc1_49,pila,DBH_10Post,145.3,2011,2.0,3.0,0.9000000000000057,0.3000000000000019,2008.0,2011,0,white_pine,0,145.3,Burn/Understory Thin,pine,2008.0,2011
Burn+Thin,bc1,bc1_51,cade,DBH_10Post,129.6,2011,1.0,3.0,-1.0,-0.3333333333333333,2008.0,2011,0,cedar,0,129.6,Burn/Understory Thin,cedar,2008.0,2011
Burn+Thin,bc1,bc1_53,abco,DBH_10Post,128.2,2011,2.0,3.0,-0.1000000000000227,-0.0333333333333409,2008.0,2011,0,fir,0,128.2,Burn/Understory Thin,fir,2008.0,2011
Burn+Thin,bc1,bc1_54,abco,DBH_10Post,23.4,2011,2.0,8.0,1.3999999999999986,0.1749999999999998,2003.0,2011,0,fir,0,23.4,Burn/Understory Thin,fir,2003.0,2011
Burn+Thin,bc1,bc1_55,cade,DBH_10Post,28.2,2011,1.0,8.0,6.5,0.8125,2003.0,2011,0,cedar,0,28.2,Burn/Understory Thin,cedar,2003.0,2011
