Treatment,Plot,TreeID_clean,Species_clean,DBH_timeframe,dbh,Year,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment_raw,PFT_simple,start_year_raw,end_year_raw
Burn+Thin,bc1,bc1_6,pije,DBH_Post,127.5,2003,1.0,4.0,-0.2000000000000028,-0.0500000000000007,1999.0,2003,0,yellow_pine,0,127.5,Burn/Understory Thin,pine,1999.0,2003
Burn+Thin,bc1,bc1_19,pije,DBH_Post,103.8,2003,1.0,4.0,3.799999999999997,0.9499999999999992,1999.0,2003,0,yellow_pine,0,103.8,Burn/Understory Thin,pine,1999.0,2003
Burn+Thin,bc1,bc1_20,abco,DBH_Post,84.1,2003,1.0,4.0,4.299999999999997,1.0749999999999993,1999.0,2003,0,fir,0,84.1,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_21,abco,DBH_Post,19.8,2003,1.0,4.0,0.0,0.0,1999.0,2003,0,fir,0,19.8,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_22,abco,DBH_Post,23.8,2003,1.0,4.0,2.3000000000000007,0.5750000000000002,1999.0,2003,0,fir,0,23.8,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_23,cade,DBH_Post,17.2,2003,1.0,4.0,0.1999999999999993,0.0499999999999998,1999.0,2003,0,cedar,0,17.2,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_25,abco,DBH_Post,85.9,2003,1.0,4.0,4.6000000000000085,1.150000000000002,1999.0,2003,0,fir,0,85.9,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_35,cade,DBH_Post,101.6,2003,1.0,4.0,1.0,0.25,1999.0,2003,0,cedar,0,101.6,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_42,pije,DBH_Post,153.6,2003,1.0,4.0,1.1999999999999886,0.2999999999999971,1999.0,2003,0,yellow_pine,0,153.6,Burn/Understory Thin,pine,1999.0,2003
Burn+Thin,bc1,bc1_46,cade,DBH_Post,132.8,2003,1.0,4.0,0.3000000000000113,0.0750000000000028,1999.0,2003,0,cedar,0,132.8,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_48,abco,DBH_Post,102.9,2003,1.0,4.0,0.7000000000000028,0.1750000000000007,1999.0,2003,0,fir,0,102.9,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_49,pila,DBH_Post,144.5,2003,1.0,4.0,2.1999999999999886,0.5499999999999972,1999.0,2003,0,white_pine,0,144.5,Burn/Understory Thin,pine,1999.0,2003
Burn+Thin,bc1,bc1_51,cade,DBH_Post,127.2,2003,1.0,4.0,-5.399999999999992,-1.349999999999998,1999.0,2003,0,cedar,0,127.2,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_53,abco,DBH_Post,127.7,2003,1.0,4.0,0.4000000000000057,0.1000000000000014,1999.0,2003,0,fir,0,127.7,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_54,abco,DBH_Post,22.0,2003,1.0,4.0,2.1000000000000014,0.5250000000000004,1999.0,2003,0,fir,0,22.0,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_55,cade,DBH_Post,21.7,2003,1.0,4.0,0.1999999999999993,0.0499999999999998,1999.0,2003,0,cedar,0,21.7,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_61,cade,DBH_Post,20.5,2003,1.0,4.0,0.0,0.0,1999.0,2003,0,cedar,0,20.5,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_65,abco,DBH_Post,25.0,2003,1.0,4.0,2.8999999999999986,0.7249999999999996,1999.0,2003,0,fir,0,25.0,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_66,pije,DBH_Post,161.1,2003,1.0,4.0,2.5999999999999943,0.6499999999999986,1999.0,2003,0,yellow_pine,0,161.1,Burn/Understory Thin,pine,1999.0,2003
Burn+Thin,bc1,bc1_67,cade,DBH_Post,86.1,2003,1.0,4.0,2.1999999999999886,0.5499999999999972,1999.0,2003,0,cedar,0,86.1,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_68,cade,DBH_Post,112.9,2003,1.0,4.0,0.4000000000000057,0.1000000000000014,1999.0,2003,0,cedar,0,112.9,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_73,abco,DBH_Post,22.8,2003,1.0,4.0,1.6999999999999993,0.4249999999999998,1999.0,2003,0,fir,0,22.8,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_77,pila,DBH_Post,109.6,2003,1.0,4.0,1.2999999999999972,0.3249999999999993,1999.0,2003,0,white_pine,0,109.6,Burn/Understory Thin,pine,1999.0,2003
Burn+Thin,bc1,bc1_93,pila,DBH_Post,23.8,2003,1.0,4.0,-0.5,-0.125,1999.0,2003,0,white_pine,0,23.8,Burn/Understory Thin,pine,1999.0,2003
Burn+Thin,bc1,bc1_103,cade,DBH_Post,19.2,2003,1.0,4.0,3.3999999999999986,0.8499999999999996,1999.0,2003,0,cedar,0,19.2,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_105,abco,DBH_Post,15.9,2003,1.0,4.0,0.7000000000000011,0.1750000000000002,1999.0,2003,0,fir,0,15.9,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_106,abco,DBH_Post,21.0,2003,1.0,4.0,0.3000000000000007,0.0750000000000001,1999.0,2003,0,fir,0,21.0,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_127,cade,DBH_Post,22.0,2003,1.0,4.0,-1.0,-0.25,1999.0,2003,0,cedar,0,22.0,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_128,cade,DBH_Post,18.5,2003,1.0,4.0,-1.1999999999999993,-0.2999999999999998,1999.0,2003,0,cedar,0,18.5,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_154,abco,DBH_Post,17.4,2003,1.0,4.0,1.4999999999999982,0.3749999999999995,1999.0,2003,0,fir,0,17.4,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_159,abco,DBH_Post,137.6,2003,1.0,4.0,2.799999999999983,0.6999999999999957,1999.0,2003,0,fir,0,137.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_170,abco,DBH_Post,24.6,2003,1.0,4.0,1.1000000000000014,0.2750000000000003,1999.0,2003,0,fir,0,24.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_171,abco,DBH_Post,108.6,2003,1.0,4.0,0.1999999999999886,0.0499999999999971,1999.0,2003,0,fir,0,108.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_186,pije,DBH_Post,129.7,2003,1.0,4.0,2.499999999999986,0.6249999999999964,1999.0,2003,0,yellow_pine,0,129.7,Burn/Understory Thin,pine,1999.0,2003
Burn+Thin,bc1,bc1_198,abco,DBH_Post,24.2,2003,1.0,4.0,2.599999999999998,0.6499999999999995,1999.0,2003,0,fir,0,24.2,Burn/Understory Thin,fir,1999.0,2003
