Unit,Treatment,DBH_timeframe,Year,Size_class,TPH
bc1,Burn+Thin,DBH_10Post,2011.0,20,25.25
bc1,Burn+Thin,DBH_10Post,2011.0,30,48.25
bc1,Burn+Thin,DBH_10Post,2011.0,40,13.75
bc1,Burn+Thin,DBH_10Post,2011.0,50,3.75
bc1,Burn+Thin,DBH_10Post,2011.0,60,2.25
bc1,Burn+Thin,DBH_10Post,2011.0,70,2.75
bc1,Burn+Thin,DBH_10Post,2011.0,80,2.0
bc1,Burn+Thin,DBH_10Post,2011.0,90,7.0
bc1,Burn+Thin,DBH_10Post,2011.0,100,3.75
bc1,Burn+Thin,DBH_10Post,2011.0,227.2,16.0
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,20,28.25
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,30,40.25
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,40,18.5
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,50,5.0
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,60,1.25
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,70,2.25
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,80,1.75
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,90,2.5
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,100,2.0
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,227.2,10.75
bc1,Burn+Thin,DBH_1PostRX,2018.0,20,19.5
bc1,Burn+Thin,DBH_1PostRX,2018.0,30,35.5
bc1,Burn+Thin,DBH_1PostRX,2018.0,40,18.5
bc1,Burn+Thin,DBH_1PostRX,2018.0,50,4.5
bc1,Burn+Thin,DBH_1PostRX,2018.0,60,1.25
bc1,Burn+Thin,DBH_1PostRX,2018.0,70,2.5
bc1,Burn+Thin,DBH_1PostRX,2018.0,80,1.75
bc1,Burn+Thin,DBH_1PostRX,2018.0,90,2.25
bc1,Burn+Thin,DBH_1PostRX,2018.0,100,1.5
bc1,Burn+Thin,DBH_1PostRX,2018.0,227.2,9.75
bc1,Burn+Thin,DBH_2008,2008.0,20,0.0
bc1,Burn+Thin,DBH_2008,2008.0,30,0.0
bc1,Burn+Thin,DBH_2008,2008.0,40,0.0
bc1,Burn+Thin,DBH_2008,2008.0,50,0.0
bc1,Burn+Thin,DBH_2008,2008.0,60,0.0
bc1,Burn+Thin,DBH_2008,2008.0,70,0.0
bc1,Burn+Thin,DBH_2008,2008.0,80,1.0
bc1,Burn+Thin,DBH_2008,2008.0,90,6.25
bc1,Burn+Thin,DBH_2008,2008.0,100,3.75
bc1,Burn+Thin,DBH_2008,2008.0,227.2,15.0
bc1,Burn+Thin,DBH_2PostRX,2019.0,20,19.0
bc1,Burn+Thin,DBH_2PostRX,2019.0,30,33.25
bc1,Burn+Thin,DBH_2PostRX,2019.0,40,19.0
bc1,Burn+Thin,DBH_2PostRX,2019.0,50,5.0
bc1,Burn+Thin,DBH_2PostRX,2019.0,60,1.25
bc1,Burn+Thin,DBH_2PostRX,2019.0,70,2.25
bc1,Burn+Thin,DBH_2PostRX,2019.0,80,1.75
bc1,Burn+Thin,DBH_2PostRX,2019.0,90,2.25
bc1,Burn+Thin,DBH_2PostRX,2019.0,100,1.0
bc1,Burn+Thin,DBH_2PostRX,2019.0,227.2,9.25
bc1,Burn+Thin,DBH_Post,2003.0,20,26.5
bc1,Burn+Thin,DBH_Post,2003.0,30,37.5
bc1,Burn+Thin,DBH_Post,2003.0,40,4.25
bc1,Burn+Thin,DBH_Post,2003.0,50,3.5
bc1,Burn+Thin,DBH_Post,2003.0,60,2.75
bc1,Burn+Thin,DBH_Post,2003.0,70,1.75
bc1,Burn+Thin,DBH_Post,2003.0,80,3.75
bc1,Burn+Thin,DBH_Post,2003.0,90,7.25
bc1,Burn+Thin,DBH_Post,2003.0,100,5.5
bc1,Burn+Thin,DBH_Post,2003.0,227.2,19.0
bc1,Burn+Thin,DBH_Pre,1999.0,20,58.5
bc1,Burn+Thin,DBH_Pre,1999.0,30,81.25
bc1,Burn+Thin,DBH_Pre,1999.0,40,48.0
bc1,Burn+Thin,DBH_Pre,1999.0,50,38.25
bc1,Burn+Thin,DBH_Pre,1999.0,60,27.25
bc1,Burn+Thin,DBH_Pre,1999.0,70,19.5
bc1,Burn+Thin,DBH_Pre,1999.0,80,15.75
bc1,Burn+Thin,DBH_Pre,1999.0,90,8.5
bc1,Burn+Thin,DBH_Pre,1999.0,100,6.25
bc1,Burn+Thin,DBH_Pre,1999.0,227.2,20.5
bc2,Burn+Thin,DBH_10Post,2011.0,20,14.75
bc2,Burn+Thin,DBH_10Post,2011.0,30,30.0
bc2,Burn+Thin,DBH_10Post,2011.0,40,12.25
bc2,Burn+Thin,DBH_10Post,2011.0,50,1.75
bc2,Burn+Thin,DBH_10Post,2011.0,60,0.25
bc2,Burn+Thin,DBH_10Post,2011.0,70,0.25
bc2,Burn+Thin,DBH_10Post,2011.0,80,0.5
bc2,Burn+Thin,DBH_10Post,2011.0,90,4.5
bc2,Burn+Thin,DBH_10Post,2011.0,100,4.75
bc2,Burn+Thin,DBH_10Post,2011.0,227.2,15.0
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,20,11.0
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,30,22.0
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,40,15.25
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,50,3.5
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,60,0.25
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,70,0.0
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,80,0.0
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,90,2.5
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,100,4.0
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,227.2,14.0
bc2,Burn+Thin,DBH_1PostRX,2018.0,20,5.5
bc2,Burn+Thin,DBH_1PostRX,2018.0,30,10.5
bc2,Burn+Thin,DBH_1PostRX,2018.0,40,9.5
bc2,Burn+Thin,DBH_1PostRX,2018.0,50,3.75
bc2,Burn+Thin,DBH_1PostRX,2018.0,60,0.0
bc2,Burn+Thin,DBH_1PostRX,2018.0,70,0.0
bc2,Burn+Thin,DBH_1PostRX,2018.0,80,0.0
bc2,Burn+Thin,DBH_1PostRX,2018.0,90,2.75
bc2,Burn+Thin,DBH_1PostRX,2018.0,100,3.0
bc2,Burn+Thin,DBH_1PostRX,2018.0,227.2,13.25
bc2,Burn+Thin,DBH_2008,2008.0,20,0.0
bc2,Burn+Thin,DBH_2008,2008.0,30,0.0
bc2,Burn+Thin,DBH_2008,2008.0,40,0.0
bc2,Burn+Thin,DBH_2008,2008.0,50,0.0
bc2,Burn+Thin,DBH_2008,2008.0,60,0.0
bc2,Burn+Thin,DBH_2008,2008.0,70,0.0
bc2,Burn+Thin,DBH_2008,2008.0,80,0.25
bc2,Burn+Thin,DBH_2008,2008.0,90,4.25
bc2,Burn+Thin,DBH_2008,2008.0,100,6.0
bc2,Burn+Thin,DBH_2008,2008.0,227.2,14.0
bc2,Burn+Thin,DBH_2PostRX,2019.0,20,6.0
bc2,Burn+Thin,DBH_2PostRX,2019.0,30,10.0
bc2,Burn+Thin,DBH_2PostRX,2019.0,40,8.5
bc2,Burn+Thin,DBH_2PostRX,2019.0,50,3.5
bc2,Burn+Thin,DBH_2PostRX,2019.0,60,0.25
bc2,Burn+Thin,DBH_2PostRX,2019.0,70,0.0
bc2,Burn+Thin,DBH_2PostRX,2019.0,80,0.25
bc2,Burn+Thin,DBH_2PostRX,2019.0,90,2.5
bc2,Burn+Thin,DBH_2PostRX,2019.0,100,3.25
bc2,Burn+Thin,DBH_2PostRX,2019.0,227.2,12.5
bc2,Burn+Thin,DBH_Post,2003.0,20,18.75
bc2,Burn+Thin,DBH_Post,2003.0,30,28.25
bc2,Burn+Thin,DBH_Post,2003.0,40,3.5
bc2,Burn+Thin,DBH_Post,2003.0,50,1.25
bc2,Burn+Thin,DBH_Post,2003.0,60,0.75
bc2,Burn+Thin,DBH_Post,2003.0,70,0.5
bc2,Burn+Thin,DBH_Post,2003.0,80,1.75
bc2,Burn+Thin,DBH_Post,2003.0,90,5.25
bc2,Burn+Thin,DBH_Post,2003.0,100,5.5
bc2,Burn+Thin,DBH_Post,2003.0,227.2,15.0
