Unit,Treatment,DBH_timeframe,Year,TPH
bc1,Burn+Thin,DBH_10Post,2011.0,124.75
bc1,Burn+Thin,DBH_15Post,2016.2222222222222,112.5
bc1,Burn+Thin,DBH_1PostRX,2018.0,97.0
bc1,Burn+Thin,DBH_2008,2008.0,26.0
bc1,Burn+Thin,DBH_2PostRX,2019.0,94.0
bc1,Burn+Thin,DBH_Post,2003.0,111.75
bc1,Burn+Thin,DBH_Pre,1999.0,323.75
bc2,Burn+Thin,DBH_10Post,2011.0,84.0
bc2,Burn+Thin,DBH_15Post,2016.1103448275862,72.5
bc2,Burn+Thin,DBH_1PostRX,2018.0,48.25
bc2,Burn+Thin,DBH_2008,2008.0,24.5
bc2,Burn+Thin,DBH_2PostRX,2019.0,46.75
bc2,Burn+Thin,DBH_Post,2003.0,80.5
bc2,Burn+Thin,DBH_Pre,2000.0,294.75
bc3,Burn+Thin,DBH_10Post,2011.0,87.0
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,76.25
bc3,Burn+Thin,DBH_1PostRX,2018.0,52.0
bc3,Burn+Thin,DBH_2008,2008.0,30.75
bc3,Burn+Thin,DBH_2PostRX,2019.0,45.25
bc3,Burn+Thin,DBH_Post,2003.0,89.25
bc3,Burn+Thin,DBH_Pre,2000.0,225.0
bn1,Burn,DBH_10Post,2011.0,252.75
bn1,Burn,DBH_15Post,2016.110465116279,215.0
bn1,Burn,DBH_1PostRX,2018.0,204.5
bn1,Burn,DBH_2008,2008.0,25.5
bn1,Burn,DBH_2PostRX,2019.0,190.0
bn1,Burn,DBH_Post,2004.0,233.5
bn1,Burn,DBH_Pre,2000.0,266.5
bn2,Burn,DBH_10Post,2011.0,235.5
bn2,Burn,DBH_15Post,2016.1170520231215,173.0
bn2,Burn,DBH_1PostRX,2018.0,151.5
bn2,Burn,DBH_2008,2008.0,29.0
bn2,Burn,DBH_2PostRX,2019.0,134.0
bn2,Burn,DBH_Post,2004.0,232.25
bn2,Burn,DBH_Pre,2000.0,280.5
bn3,Burn,DBH_10Post,2011.0,191.5
bn3,Burn,DBH_15Post,2016.105580693816,165.75
bn3,Burn,DBH_1PostRX,2018.0,153.25
bn3,Burn,DBH_2008,2008.0,38.25
bn3,Burn,DBH_2PostRX,2019.0,150.5
bn3,Burn,DBH_Post,2003.0,186.5
bn3,Burn,DBH_Pre,2001.0,197.75
uc1,Thin,DBH_10Post,2011.0,136.25
uc1,Thin,DBH_15Post,2019.0,126.75
uc1,Thin,DBH_2008,2008.0,38.25
uc1,Thin,DBH_Post,2003.0,110.25
uc1,Thin,DBH_Pre,1999.0,226.0
uc2,Thin,DBH_10Post,2011.0,134.0
uc2,Thin,DBH_15Post,2018.0,140.75
uc2,Thin,DBH_2008,2008.0,29.0
uc2,Thin,DBH_Post,2004.0,99.25
uc2,Thin,DBH_Pre,2000.0,273.0
uc3,Thin,DBH_10Post,2011.0,159.0
uc3,Thin,DBH_15Post,2018.0,140.5
uc3,Thin,DBH_2008,2008.0,28.0
uc3,Thin,DBH_Post,2004.0,138.75
uc3,Thin,DBH_Pre,2000.0,295.75
un1,None,DBH_10Post,2011.0,211.75
un1,None,DBH_15Post,2018.0,163.25
un1,None,DBH_2008,2008.0,33.25
un1,None,DBH_Post,2002.0,209.25
un2,None,DBH_10Post,2011.0,231.5
un2,None,DBH_15Post,2018.0,178.0
un2,None,DBH_2008,2008.0,21.75
un2,None,DBH_Post,2002.0,219.75
un3,None,DBH_10Post,2011.0,217.75
un3,None,DBH_15Post,2019.0,173.5
un3,None,DBH_2008,2008.0,34.5
un3,None,DBH_Post,2002.0,208.5
